livre	chapitre	verset	fr	ewe
GEN	7	7	Et Noé entra dans l’arche avec ses fils, sa femme et les femmes de ses fils, pour échapper aux eaux du déluge.	Eye Noa kple vianutsuwo kple sróa hekpe de vianutsuawo srowo ñuti, woyi de adakawu la me, hafi tsi va de anyigba./ 8 Là matsri- matsriwo kple là tsitsriwo kple he dzodzoewo hekpe de nusiwo kata tana le anyigba dzi la nuti 9 woyi de Noa gbo atsu kple asi eveveve le adakawu la me, abe alesi ZMawu de se na Noa ene
GEN	7	13	Ce même jour entrèrent dans l’arche Noé, Sem, Cham et Japhet, fils de Noé, la femme de Noé et les trois femmes de ses fils avec eux:	Le iKeKe ma dzi tutütu Noa kple via- nutsuwo: Sem, Ham kple Yafet kple Noa sro, hekpe de vianutsua- wo sro etóawo ñuti, woyi de ada- kawu la me; 14 woawo kple gbe- meláwo katá le wofe fomeviwo nu kple afemelàwo katà le wofe fomeviwo nu kple nu fata, siwo katà tana le anyigba dzi le wofe fomeviwo nu, hekpe de hewo kple nusiwo katá dzona la nuti le wofe . 3, 6; Hi. 22, 15. 16. . 3, 20. A 7, 1M. 12. fomeviwo nu
GEN	7	24	Les eaux furent grosses sur la terre pendant cent cinquante jours.	Eye tsia le dodom de anyigba dzi nkeke alafa deka kple blaato son. Tsidodo wu nu. Eye Mawu do nku Noa kple x gbemelà kple afemelà, siwo kata le egbo le adakawua me la dzi, eye Mawu na ya fo de anyi- gba dzi, ale bena tsia de asi mie- mie me
GEN	8	6	Au bout de quarante jours, Noé ouvrit la fenêtre qu’il avait faite à l’arche.	Le hkeke blane megbe la Noa wu adakawua fe fesre, si wówo la, 7 Eye wówu nu le akpaviaa de nu do da, eye wóle dzodzom tso afii yi afii, vasede esime tsia mie le anyigba dzi vo
GEN	8	22	Tant que la terre subsistera, les semailles et la moisson, le froid et la chaleur, l’été et l’hiver, le jour et la nuit ne cesseront point.	Tso esia dzi, hkeke alesi anyigba li la, nufafá kple nucece, vuvo kple fifia, dzomenoli kple pepi, nkeke kple za nu matsi 0. Sedede na Noa fe dzidzimeviwo. Eye Mawu yra Noa kple via- nutsuawo, eye wógblo na wo bena: Midzi, ne miaso gbo, eye miayo anyigba la dzi! 2 Metso anyigba dzi lawo kata kple dzifohe dzodzoewo kata kple nusiwo kata tana le anyigba dzi, kple tome- lawo kata de asi na mi, eye mia- nye vovó kple ñodzi na wo. Z Nu gbagbe, siwo kata wana, nenem4 nu siawo kata metso na mi, bena woanye miafe nududu abe ama- gbewo ke ene
GEN	9	4	Seulement, vous ne mangerez point de chair avec son âme, avec son sang.	Hafi la, si wu tsi lame na la, migadui o 5 Ke mia nutowo miafe wu la, ? mabiae le làwo kple amewo sia si, ma- bia amesiame fe agbe le novia si
GEN	9	14	Quand j’aurai rassemblé des nuages au-dessus de la terre, l’arc paraîtra dans la nue;	Eye ava me bena, ne mele fu fom alilikpowo le dzifo, eye anyie- wo di de alilikpoawo nu la, 15 eke- ma mado nku nye nubabla, si mebla kpli mi kpakple nutil sia nutilà, siwo me apbegbogbo le la dzi, eye tsi magado ade anyigba la bena, nu gbagbewo kata natsro alilikpowo nu la, makpoe ahado nku nubabla, si le Mawu kple nu- tila, siwo kata me agbegbogbo le le anyigba dzi, dome la dzi tegbe
GEN	9	23	Alors Sem et Japhet prirent le manteau, le mirent sur leurs épaules, marchèrent à reculons, et couvrirent la nudité de leur père; comme leur visage était détourné, ils ne virent point la nudité de leur père.	Tete Sem kple Yafet tso avo lé de abota hezo megbe- megbee, eye wotsyoe na wo fofo, eye wometro ko kpo wo fofo fe ama o
GEN	9	28	Noé vécut, après le déluge, trois cent cinquante ans.	Eye le tsidodo la megbe la Noa gano agbe fe alafa etó kple blaató, eye Noa fe agbe me nkekewo katà nye fe alafa asieke kple blaató, eye woku
GEN	10	4	Les fils de Javan: Élischa, Tarsis, Kittim et Dodanim.	Yawan vinutsuwo nye: Elisa, Tarsis, Kititowo kple Doda- nitowo.5 Ame siawo me duko,siwo noa fukpowo dzi la, dzo tso. Esiawo nye Yafet vihutsuwo le wofe anyi- Dzidzime behléfia. a . b Yo. 1,2. d Ro. 9, 16. e Ef. 3, 6. 9, 16 10, 31 gbawo, wofe gbe vovovowo, wote fomewo kple wofe dukowo nu
GEN	10	11	De ce pays-là sortit Assur; il bâtit Ninive, Rehoboth Hir, Calach,	Eye wowu le anyi- gba sia dzi yi de Asur, eye wó- tso Niniwe, Rehobot-Ir, Kalah 12 kple Resen, le Niniwe kple Kalah dome, esia enye du gato
GEN	10	13	Mitsraïm engendra les Ludim, les Anamim, les Lehabim, les Naphtuhim,	Eye Mizrayim dzi Luditowo, Anamitowo, Lehabitowo, Naftuhi- towo, 14 Patrusitowo, Kasluhito- wo, amesiwo dome Filistitowo dzo tso, kple Kaftoritowo
GEN	10	15	Canaan engendra Sidon, son premier-né, et Heth;	Eye Ka- naan dzi Zidon efe ngogbevi kple Het, 16 Yebusitowo, Amoritowo kple Girgasitowo, 17 Hiwitowo, Arkitowo kple Sinitowo, 18 Ar- watitowo, Zemaritowo kple Ha- matitowo; emegbe Kanaan fe fo- me va keke ta de dzi
GEN	10	26	Jokthan engendra Almodad, Schéleph, Hatsarmaveth, Jérach,	Yok- tan dzi Almodad, Salep, Hazar- mawet, Yarah, 27 'Hadoram, Uzal, Dikla, 28 Obal, Abimael, Seba, 29 Ofir, Hawila kple Yobab. Ame siawo kata nye Yoktan vinutsu- wo
GEN	11	13	Arpacschad vécut, après la naissance de Schélach, quatre cent trois ans; et il engendra des fils et des filles.	Eye esi Arpahsad dzi Selah megbe la, egano agbe fe alafa ene kple eto, eye wódzi nutsuwo kple nyonu- Motutu de Babel. ) 18,21; Ps. 18, d Lu. 1, 51. f Yos. 94, 2; en. 9, 7. g Do.7,3; Heb. 8. A 24, 1. 35; Ps. wo
GEN	12	4	Abram partit, comme l’Éternel le lui avait dit, et Lot partit avec lui. Abram était âgé de soixante-quinze ans, lorsqu’il sortit de Charan.	Tete Abram wu, abe alesi Yehowa gblo ne ene, eye Lot ha yi kplii. Abram ho fe blaadre vo ato, esime wówu tso Haran.i 5 Eye Abram kplo srba Sarai kple tog yovia Lot, eye wotso; wofe kesinonuwo kata kple ame-! siwo kata wokpo le Haran 1a, eye wowu, be woayi Kanaan-! nyigba dzi, eye wova Kanaan-nyi- gba la dzi
GEN	12	6	Abram parcourut le pays jusqu’au lieu nommé Sichem, jusqu’aux chênes de Moré. Les Cananéens étaient alors dans le pays.	Eye Abram tsa le anyigba la dzi vasede Sihem kple Moreti gà la gbo; ke gemapi la Kanaantowo le anyigba la dzi. Nugbedodo gbüto. 7 Eye Yehowa de edokui fia' Abram gblo ne bena:? Wò dzidzi- 17,852 meviwo matso anyigba sia ana. Eye wódi vosamlekpui de afima na Yehowa, amesi de edokui fiae
GEN	13	2	Abram était très riche en troupeaux, en argent et en or.	Eye lawo, klo- salo kple sika gede le Abram si tan./ 3 Eye wòzo tso dziehe gome vasede Betel, vasede tefe, si wòtu efe agbado do tsã, le Betel kple 18; Ai dome, 4 afisi wodi vosamle- a kpui do gba. Eye Abram yo Ye- 12; Mo, IL 6, howa fe nko le aima
GEN	13	8	Abram dit à Lot: Qu’il n’y ait point, je te prie, de dispute entre moi et toi, ni entre mes bergers et tes bergers; car nous sommes frères.	Tete Abram gblo na Lot bena: Megana dzre nano mía kpli wò, nye lānyilawo kple wò JanyIIawo dome o, elabena :20)26 1-1. npoviwo míenye.' 9 Aló menye anyigba blibo la nye esi le nku- wó meoa? De megbe tso gbonye dzro! Ne étia mià me la, matso dusi me, eye ne étia dusi me la, matso mia me
GEN	13	15	car tout le pays que tu vois, je le donnerai à toi et à ta postérité pour toujours.	Elabena anyigba blibo la kata, si kpom néle la, matsoe ana wo kple wo dzidzimeviwo tegbetegbe. 16 Eye mana wo dzidzimeviwo naso gbo abe wuwudedi ene ale be, ne amea de ate nu ahlë wuwudedi la, eya Koe ate ñu ahlë wo dzi- dzimeviwo ha.d 17 Mi tre natsa, eye nakpo anyigba la fe didime kple efe kekeme, elabena wge matsoe ana!
GEN	13	18	Abram leva ses tentes, et vint habiter parmi les chênes de Mamré, qui sont près d’Hébron. Et il bâtit là un autel à l’Éternel.	Eye Abram le efe agbado hom le tutum, le ngo- gbe yimie, eye wóva no Mamre fe ati gá gbo le Hebron-nutowo me, eye wódi vosamlekpui de afi- ma na Yehowa. 1 Eye wova me le nkeke mawo a me bena, Amrafel, Sinear-fia, Ariok, Elasar-fia, Kedorlaomer,El- am-fia kple Tideal, Goyim-fia 2 wo- và woa awa kple Bera, Sodom-fia, Birsa, Gomora-fia, Sineab,/ Adma- fia, Semeber, Zeboyim-fia kple Be- la- alo Zoar-fia
GEN	14	11	Les vainqueurs enlevèrent toutes les richesses de Sodome et de Gomorrhe, et toutes leurs provisions; et ils s’en allèrent.	Eye woha Sodom kple Fiawo fe awawowo
GEN	14	22	Abram répondit au roi de Sodome: Je lève la main vers l’Éternel, le Dieu Très-Haut, maître du ciel et de la terre:	Ke Abram gblo na Sodom-fia pena: Meta Yehowa, Mawu dzifo- wito, si wo dzifo kple anyigba la 23 bena, nyemaho naneke atso nusiwo kata nye towó la me o, ka 10, alo atokotaka go hà o, bena nagagblo bena, yee wo Abram wozu kesinoto o!
GEN	15	8	Abram répondit: Seigneur Éternel, à quoi connaîtrai-je que je le posséderai?	Ke egblo ne be- na: Afeto Yehowa, nuka me madze sii le bena, matsoe anyi domee mahã?k 9 Eye wódo nu ne bena: Lé nyino, si ho fe eto, gbóno, si ho fe etó, appo, si ho fe eto, akpakpa kple ahóne ve nam!
GEN	15	19	le pays des Kéniens, des Keniziens, des Kadmoniens,	Kenitowo, Kenizitowo, Kadmonitowo,?20 Hititowo,Perizi- towo, Refaitowo, 21 Amoritowo, Kanaanitowo, Girgasitowo kple Yebusitowo
GEN	16	7	L’ange de l’Éternel la trouva près d’une source d’eau dans le désert, près de la source qui est sur le chemin de Schur.	Ke Yehowa fe dola kpoe le ts:- vudoa de,sile gbedzileSur-mo dzi la to
GEN	17	4	Voici mon alliance, que je fais avec toi. Tu deviendras père d’une multitude de nations.	Kpo da, mebla nu kpli wó, eye nazu duko gedewo fofo
GEN	17	10	C’est ici mon alliance, que vous garderez entre moi et vous, et ta postérité après toi: tout mâle parmi vous sera circoncis.	Nye nu- babla, si le mía kpli mi kple me- gbewoóviwo dome, si me dim mele be, mialé de asi la, enye esi: Woa- tso awa na nutsu sia ñutsu le mia dome! 11 Woade miafe awanu- yiwo da, eye esia anye mía kple mia dome nubabla la fe dzesi
GEN	18	4	Permettez qu’on apporte un peu d’eau, pour vous laver les pieds; et reposez-vous sous cet arbre.	Woaku tsi via de ve, ne miaklo miafe afowo nuti; emegbe la miagbo de eme vie, 5 eye matso abolo via de ve, ne miado nusé mia dokui hai adzo; elabena esia ta mieva to miafe dola gbo do. Eye woho dzi bena: Wo abe alesi négblo ene!
GEN	18	17	Alors l’Éternel dit: Cacherai-je à Abraham ce que je vais faire?…	Eye Yehowa gblo bena: De mala nusi wo ge mala la de Abrabam, 18 esi wónye Abraham ava nye duko gà sénua de, eye woayra anyigba dzi dukowo kata le eme laa? 19 Elabena metiae, bena dwòade se na emegbeviwo kple efe me kata bena, woalé nku de Yehowa fe mo nuti, eye woawo nu dzodzoe kple nu nyui, bena ne nusi nugbe Yehowa do la, nava me na Abraham
GEN	18	23	Abraham s’approcha, et dit: Feras-tu aussi périr le juste avec le méchant?	Eye Abraham te de enu gblo bena: De àtsró ame dzodzoewo kple ame vódiwo sia maha ?i 24 Dewohi ame dzodzoe blaató ano dua me; de àtsróe, eye matsoe ake tefe la le ame dzodzoe blaato, siwo le eme la, ta o mahá?
GEN	19	3	Mais Lot les pressa tellement qu’ils vinrent chez lui et entrèrent dans sa maison. Il leur donna un festin, et fit cuire des pains sans levain. Et ils mangèrent.	Eye esi wófoe de wo nu wü la, wotro va dze efe me. Eye wóto tatali hedo kplo na wo, eye wodu nu
GEN	19	26	La femme de Lot regarda en arrière, et elle devint une statue de sel.	Ke sróa nyé ko kpo megbe, eye wozu dzeko. 27 Eye Abra- ham fo ndi kanya yi de tefe, si wòtsi tre de Yehowa fe nku me le tsá la
GEN	19	36	Les deux filles de Lot devinrent enceintes de leur père.	Ale wo Lot do fu vianyonu eveawo
GEN	20	5	Ne m’a-t-il pas dit: C’est ma sœur? Et elle-même n’a-t-elle pas dit: C’est mon frère? J’ai agi avec un cœur pur et avec des mains innocentes.	Alo menye eya nuto gblo nam bena, ye novi- nyonue, eye nyonua hà gblo nam bena,ye novinutsueoa? Nyedzime ko, eye nye asi dza le ekpokplo me. '6 Tete Mawu gblo ne le dróefe bena: Nye hà menyae bena, wo dzime ko le ewowo me; eyaia metso wó ho do, be nagade asi eiu ahawo nuyb de nunye o
GEN	21	2	Sara devint enceinte, et elle enfanta un fils à Abraham dans sa vieillesse, au temps fixé dont Dieu lui avait parlé.	Ke Yehowa do nku nhugbe
GEN	21	5	Abraham était âgé de cent ans, à la naissance d’Isaac, son fils.	Ke Abra- ham ho fe alafa deka, esime wodzi via Isak ne. 6 Eye Sara gblo bena: Mawu ido nukokoe nam, eye amesiame, si asee la, ako nu le nutinye
GEN	21	9	Sara vit rire le fils qu’Agar, l’Égyptienne, avait enfanté à Abraham;	Ke esi Sara kpo bena, Egipte- nyonua Hagar fe vi, si wódzi na Abraham, lóa gafluinuwowo 1a, 10 egblo na Abraham bena: Nyà kosi sia kple via da; elabena kosi sia fe vi mate nu anyi dome kple vinye Isak o
GEN	21	15	Quand l’eau de l’outre fut épuisée, elle laissa l’enfant sous un des arbrisseaux,	Esi lagbalé- golo me tsi la vo la, etso devi la yi damlo ati dodoea de te, 16 eye wóyi dabobo no devi la kasa le adzoge bo, wo dome didi abe antro fe dudidi me ene; elabena egblo bena: Nyemate nu akpo devi la fe kufe o. Eyata woyi dabobo no adzoge bo do; tete devi la de asi avifafa me sesie
GEN	21	18	Lève-toi, prends l’enfant, saisis-le de ta main; car je ferai de lui une grande nation.	Tsi tre, yi dako devi la, eye nalée de asi, elabena mana wóazu 19 Tete Mawu wu efe Akuwo, eye wókpo tsivudoa de. Enumake wóyi daku tsi de lágbalégolo la me tan, eye wò- na devia wóno
GEN	21	25	Mais Abraham fit des reproches à Abimélec, au sujet d’un puits d’eau, dont s’étaient emparés de force les serviteurs d’Abimélec.	Tete Abraham fo nu kple Abimeleh le tsivudo, si efe dolawo ho sesëe la nuti
GEN	21	31	C’est pourquoi on appelle ce lieu Beer-Schéba; car c’est là qu’ils jurèrent l’un et l’autre.	Eyata woyo tefe ma la IIu o, eye megawo nanekee o! pena ? Berseba, elabena aima wo 426, 33. Menyae azo bena, eyba Mawu, ame eve la woka atam na wo c ko.v,z. jelabena méte wò tenuvi lam o. noewo le
GEN	21	33	Abraham planta des tamaris à Beer-Schéba; et là il invoqua le nom de l’Éternel, Dieu de l’éternité.	Eye Abraham do atiwo de Ber- tso mé nui de via tefe
GEN	21	34	Abraham séjourna longtemps dans le pays des Philistins.	Ke Abraham nye ' wogblona vasede egbegbe bena: w u, dere: fe anyi- me 9 dal aniei Yehowa dea edo- gba dzi etefe didi. ui fiana le. Mawu do Abraham Kpo. Mawu do kpe nugbedodo la dzi. : ; 15 Eye Yehowa fe dola gayo 2 2. ie nya siawo megbe la Mais? Abraham zi evelia tso dzifo 16 he- gblone bena: Abraham! Edo ñu ne ! . cpe bena: ¿Meta dokuinye, ela- bena: Nye enye si!
GEN	22	2	Dieu dit: Prends ton fils, ton unique, celui que tu aimes, Isaac; va-t’en au pays de Morija, et là offre-le en holocauste sur l’une des montagnes que je te dirai.	Eye wogblo eot x i dele y uu a ne bena: Kplo Isak, wó tenuvi, si , SERUUM RARI O a r eya- gbo mélóa nu lena o la, yi de deb di is ta mayra wo gede muto, eye Moria-nyigba dzi, eye natsoe ame : kron. n.z,1. PD, 80 g EE ape. IM nui le aima le vosamekpui dzi le ES dade p'e pe e BE pos toa de, si mafia wò la dzi!
GEN	22	21	Uts, son premier-né, Buz, son frère, Kemuel, père d’Aram,	Wofe nkowo nye: Uz, efe ngogbevi, kple novia Bus, Kemuel, amesi me Aramtowo dzo tso, 22 Kesed, Haso, Pildas, Yidlaf kple Betuel
GEN	23	7	Abraham se leva, et se prosterna devant le peuple du pays, devant les fils de Heth.	Tete Abraham tsi tre, eye wóbobo na anyigbadzito, siwo nye Iitiviwo, 8 eye wófo nu kpli wo bena: Ne mield bena, madi nye ame kukua la, ekema mido tom, eye mide kuku na Efron Zohar-vi nam 9 be, woatso efe kpeto Mahpela, si le efe agble fe nuwufe la nam, eye mahe fe de eta blibo, ne wòanye nye amedife kon le mia dome
GEN	23	12	Abraham se prosterna devant le peuple du pays.	Tete Abra- ham bobo na duametowo, 13 eye wódo nu na Efron bena: Mi dua- meviwo misee! Mahe fe de agble la ta; mede kuku na wo, ho ga le asinye, be mate nu adi nye ame kukua de afima!
GEN	24	2	Abraham dit à son serviteur, le plus ancien de sa maison, l’intendant de tous ses biens: Mets, je te prie, ta main sous ma cuisse;	Eye Abraham tsi ho fe gede, » eye Yehowa yra Abraham le nuwo kata me.» 2 Eye Abraham gblo na efe dola tsitsito, si kpoa efe nuwo kata dzi, bena: ?Tso wò asi do nye ali me, 3 eye nata Ye- howa, dzifo kple anyigba fe Mawu la, nam be, made sro na vinye atso Kanaanto, siwo dome mele la, fe nyonuviwo dome o; 4 ke bon nayi mía denyigba dzi kple fonyemeawo gbo, eye nade sró na vinye Isak!
GEN	24	11	Il fit reposer les chameaux sur leurs genoux hors de la ville, près d’un puits, au temps du soir, au temps où sortent celles qui vont puiser de l’eau.	Le fi8, le nyonuwo fe tomedegi la, ena kposoawo tsyo ako anyi de dua ha le vudoa de to
GEN	24	13	Voici, je me tiens près de la source d’eau, et les filles des gens de la ville vont sortir pour puiser de l’eau.	Kpo da, mele tsitre de vudoa to, eye ne dua me nyonuviwo va tsi du ge, 14 eye aya me be, nyonuvia de ava, amesi magblo na bena: Na tsim mano, eye wdado nu nam be: Noe, eye mana wò kposowo hà nano la, ekema eyae nye nyonu, si nédo di na wo dola Isak, eye eya me madze sii le be, éve nye afeto nu!
GEN	24	25	Elle lui dit encore: Il y a chez nous de la paille et du fourrage en abondance, et aussi de la place pour passer la nuit.	Eye wòga- gblo ne bena: Afla kple gbe le mía si fü, eye dzefe hà li
GEN	24	26	Alors l’homme s’inclina et se prosterna devant l’Éternel,	Eye nutsu la ame klo na Yehowa he- tsyo mo anyi 27 gblo bena: Woa- kafu Yehowa, nye afeto Abraham fe Mawu, amesi menlo nye afeto be le enuveve kple nutefewowo ne me o la. Elabena Yehowa fia mom, eye wókplom va nye afeto noviwo gboe
GEN	24	29	Rebecca avait un frère, nommé Laban. Et Laban courut dehors vers l’homme, près de la source.	Ke novinutsu le Rebeka si, eüko nye Laban. Esi wókpo no- tige kple alonuge le novia nu, eye wose Rebeka fe nya bena, ale kple ale nutsua gblo nam enye si la, 30 Laban fu du yi nutsua, si gale kposowo gbo le vudoa to ko la gbo
GEN	24	42	Je suis arrivé aujourd’hui à la source, et j’ai dit: Éternel, Dieu de mon seigneur Abraham, si tu daignes faire réussir le voyage que j’accomplis,	Esi meva do vudoa to egbea la, medo gbe da gblo bena: Yehowa, wo nye afeto Abraham fe Mawu! Ne ana nye azoli, si dzi mele, nadze edzi nam la, kpo da, mele tsitre de vudoa to 43 ekema na bena, nyonuvi, si ava tsi du ge, eye magblo ne bena: Na tsi via dem mano, 44 eye woado nu nam be: Noe,eye mana wo kposowo ha la, eya nanye nyonu, si Yehowa do di na nye afeto fe vi la!
GEN	24	46	Elle s’est empressée d’abaisser sa cruche de dessus son épaule, et elle a dit: Bois, et je donnerai aussi à boire à tes chameaux. J’ai bu, et elle a aussi donné à boire à mes chameaux.	Enumake wodro efe ze la di gblo bena: Noe, eye mana wo kposowo ha. Esi me- noe vo la, ena kposowo ha wono
GEN	24	63	Un soir qu’Isaac était sorti pour méditer dans les champs, il leva les yeux, et regarda; et voici, des chameaux arrivaient.	Gbe deka Isak yi gbe me le fi , be wòado gbe da. Eye esi wófo moli 17, 2v
GEN	24	64	Rebecca leva aussi les yeux, vit Isaac, et descendit de son chameau.	Ke esi Rebeka f Ko dzi 1a, ekpo Isak da; tete wòdi le kpo- so la dzi, 65 eye wòbia dola la bena: Nutsu ka enye kem le gbe- me zom gbona mia kpe ge? Dola la do nu ne bena: Nye afetoe. Tete wotso motsyonu tsyo nku me
GEN	25	10	C’est le champ qu’Abraham avait acquis des fils de Heth. Là furent enterrés Abraham et Sara, sa femme.	Le agble, si Abraham fle le Hitiviwo si la me wodi Abraham kple srba Sara go. 11 Le Abraham fe ku megbe la Mawu yra via Isak. Eye Isak no , Agbeto, si le kpoyem la , fe vudo gbo. Ismael fe dzidzimeviwo
GEN	26	11	Alors Abimélec fit cette ordonnance pour tout le peuple: Celui qui touchera à cet homme ou à sa femme sera mis à mort.	Tete Abimeleh de se na efe duko blibo la Kaia bena: Ame- si ke awo nane de nutsu sia kple sróa nu la, woawui. Mawu do nupe na Isak le Gerar. Isak kpo kesinonuwo, eye Filistitowo wa ñui, 12 Eye Isak fà nu de anyigba ma dzi, eye wóne nu le fe ma me wodzi de dzi zi alafa deka son, wo, 29 be nagawo yga deke mí o, elabena Yehowa yrae
GEN	26	26	Abimélec vint de Guérar auprès de lui, avec Ahuzath, son ami, et Picol, chef de son armée.	Gbe deka Abimeleh kple holóa Ahusat kple efe awafia Pi- hol wotso Gerar va egbo. 27 Eye Isak gblo na wo bena: Nuka ta mieva gbonye do, esi mielé fum, eye mienyàm le mia gbo?
GEN	27	4	Fais-moi un mets comme j’aime, et apporte-le-moi à manger, afin que mon âme te bénisse avant que je meure.	Emegbe nada nu nyuia de nam, abe alesi nyoa nunye ene, eye natsoe ve nam, ne madu, Be mayra wo hafi aku!7 5 Eye Rebeka se nya, siwo Isak gblo na via Esau la, Ke esi Esau yi gbe me, be wóawu là atso va afee la, 6 Rebeka gblo na via Ya- kob be: Mese alesi fofowó gblo na noviwó Esau bena
GEN	27	28	Que Dieu te donne de la rosée du ciel	Mawu ana dzifozámu kple anyigba w nu wò, eye akpo bli kple wein gede fü nuto
GEN	27	29	Que des peuples te soient soumis,	Du- kowo asubo wo, eye fomewo ano wò nusé te. /Adu afeto de novi- wowo nu, eye dawóviwo adze klo na wò. Amesi ke afo fi ade wò la, woafo fi adee, eye amesi ke ayra wo la, woayrae!
GEN	27	39	Isaac, son père, répondit, et lui dit:	Tete fofoa Isak gblo ne bena: Màno anyigba wonu dzi akpo o, eye dzifozáàmua deke madza na wo o
GEN	27	40	Tu vivras de ton épée,	Wo yi anyi wò, eye àsubo novi- wo. Ke ne éle wiwlim la, Age efe kokuti da le wó ko dzi. Esau di bena, yeawu novia
GEN	27	44	et reste auprès de lui quelque temps, jusqu’à ce que la fureur de ton frère s’apaise,	Eye nano egbo nke- kea dewo, vasede esime noviwoó fe dziku la nu nafa ne, 45 vasede esime dzi nadzudzo ekuku de nu- - wò, eye wòañlo nusi néwo de enu la be! Ekema mado woakplo wo tso afima ve. Nukanuti mi ame! eve miabu dem gbe deka ?
GEN	29	14	Et Laban lui dit: Certainement, tu es mon os et ma chair.	Tete Laban gblo ne bena: Nyatefee, novinye kpamkpam nénye! Ke esi wóno egbo ġleti deka la, 15 La- ban gblo na Yakob bena: Novi- nye nenye! De awo do nam dzo- dzroa? Gbloe nam, nuka lanye wo fetu?
GEN	30	22	Dieu se souvint de Rachel, il l’exauça, et il la rendit féconde.	Tete Mawu do niku Rahel dzi, eye Mawu do toe, eye wówu efe vidzido. 23 Eye wofo fu dzi nutsuvi, tete wógblo pena: Mawu de nye nukpe da!
