livre	chapitre	verset	fr	ewe
1CH	9	39	Ner engendra Kis; Kis engendra Saül; Saül engendra Jonathan, Malki-Schua, Abinadab et Eschbaal.	Ner dzi Kis, eye Kis dzi Saul. Saul dzi Yonatan, Malhisua, Abinadab kple Esbaal
1CH	13	13	David ne retira pas l’arche chez lui dans la cité de David, et il la fit conduire dans la maison d’Obed-Édom de Gath.	Eyata Da- wid metso adaka la va edokui gbo le Dawid fe du la me o, ke bon ena wodadroe de Gat vi Obed- Edom fe me
1CH	17	25	Car toi-même, ô mon Dieu, tu as révélé à ton serviteur que tu lui bâtirais une maison. C’est pourquoi ton serviteur a osé prier devant toi.	Elabena wo, nye Mawue, gbloe de wo dola fe to me be, yele ho tu ge ne; eyata dzi do wo dola fo wole gbe sia dom da le nkuwo me
1CH	14	17	La renommée de David se répandit dans tous les pays, et l’Éternel le rendit redoutable à toutes les nations.	Eye Dawid fe niko nyo le anyi- gbawo kata dzi, eye Yehowa de vovó enu na dukowo kata
1CH	5	16	Ils habitaient en Galaad, en Basan, et dans les villes de leur ressort, et dans toutes les banlieues de Saron jusqu’à leurs extrémités.	Wono Gilead, Basan kple wo nu duwo me kpakple Saron fe nutowo katá me vasede efe mloenu
1CH	18	5	Les Syriens de Damas vinrent au secours d’Hadarézer, roi de Tsoba, et David battit vingt-deux mille Syriens.	Esi Aramtowo tso Damasko, be yewoaho na Zoba- fia Hadadezer la, Dawid wu ame akpe blave vo eve le Aramtowo dome
1CH	9	18	et jusqu’à présent il est à la porte du roi, à l’orient. Ce sont là les portiers pour le camp des fils de Lévi.	Ele fia fe agbo nu le gedzefe gome vasede fifi. Amesiawo nye Lewi- viwo fe asada fe agbonudzolawo
1CH	12	14	C’étaient des fils de Gad, chefs de l’armée; un seul, le plus petit, pouvait s’attaquer à cent hommes, et le plus grand à mille.	Amesiawo tso Gad-viwo dome, eye wonye awa- ko la fe tatowo; ame dagbito ate iu akpe kple ame alafa, eye ame loloto ate nu akpe kple ame akpe
1CH	9	41	Fils de Michée: Pithon, Mélec, et Thachréa.	Miba viwo nye: Piton, Melen kple Mahrea
1CH	7	13	Fils de Nephthali: Jahtsiel, Guni, Jetser et Schallum, fils de Bilha.	Naftali viwo nye: Yahziel, Guni, Yezer kple Salum, amesiwo nye Bilha fe viwo
1CH	17	19	O Éternel! C’est à cause de ton serviteur, et selon ton cœur, que tu as fait toutes ces grandes choses, pour les lui révéler.	Yeho- wa, le wo dola kple wo tamebubu la ta nëwo nu ga siawo kata, be nade wo nutsuwowowo kata afia
1CH	23	21	Fils de Merari: Machli et Muschi. Fils de Machli: Éléazar et Kis.	Merari viwo nye: Mahli kple Musi. Mahli viwo nye: Eleazar kple Kiz
1CH	12	34	De Nephthali, mille chefs, et avec eux trente-sept mille, portant le bouclier et la lance.	Ame- gà akpe deka tso Naftali, eye ame akpe blaetó vo adre, siwo si akpo- honu kple akplo le la, kpe de wo nu
1CH	10	2	Les Philistins poursuivirent Saül et ses fils, et tuèrent Jonathan, Abinadab et Malki-Schua, fils de Saül.	Filistitowo de Saul kple viawo de nu, eye Fili- stitowo wu Saul viwo, siwo nye: Yonatan, Abinadab kple Malhisua
1CH	22	10	Ce sera lui qui bâtira une maison à mon nom. Il sera pour moi un fils, et je serai pour lui un père; et j’affermirai pour toujours le trône de son royaume en Israël.	Eya atu ho na nye nko; azu vinye, eye nyea mazu fofoa, eye mana efe fiadufe fe fiazikpul nali ke de Israel dzi tegbē
1CH	24	13	le treizième, à Huppa; le quatorzième, à Jeschébeab;	Eye wodzidze nu le wote afekowo nu, wodale sue alo wololo o, hena agbo sia agbo
1CH	9	40	Fils de Jonathan: Merib-Baal. Merib-Baal engendra Michée.	Yonatan fe vi nye Merib-Baal, eye Merib-Baal dzi Miha
1CH	27	15	Le douzième, pour le douzième mois, était Heldaï, de Nethopha, de la famille d’Othniel; et il avait une division de vingt-quatre mille hommes.	Elabena amedzrowo míe- nyele nkuwó me, eye amegbome- wo míenye abe mía fofowo kata ene; míafe nkeke le abe vovoli ene le anyigba dzi, eye mokpo- kpo mele enu o
1CH	11	3	Ainsi tous les anciens d’Israël vinrent auprès du roi à Hébron, et David fit alliance avec eux à Hébron, devant l’Éternel. Ils oignirent David pour roi sur Israël, selon la parole de l’Éternel, prononcée par Samuel.	Tete Israel-ame tsitsiwo va fia la gbo le Hebron, eye Dawid bla nu kpli wo le Ye- howa nku me le Hebron, eye wosi ami na Dawid hedo fiae de Israel dzi Ce Yehowa fe nya, si wógblo to Samuel dzi la nu
1CH	12	35	Des Danites, armés pour la guerre, vingt-huit mille six cents.	Ámesiwo bla akpa de awa- wowo nu tso Dan-viwo dome la, wole ame akpe blave vo enyi kple alafa ade
1CH	7	3	Fils d’Uzzi: Jizrachja. Fils de Jizrachja: Micaël, Abdias, Joël, Jischija, en tout cinq chefs;	Uzi viwo nye Yizrahya, eye Yizrahya viwo nye: Mihael, Obad- ya, Yoel kple Yisiya; wole wo ame ato; wo kata wonye tatowo
1CH	1	47	Hadad mourut; et Samla, de Masréka, régna à sa place.	Esi Hadad ku la, Samla tso Masreka zu fia de etefe
1CH	9	4	Des fils de Pérets, fils de Juda: Uthaï, fils d’Ammihud, fils d’Omri, fils d’Imri, fils de Bani.	Utai, Amihud vi, amesi nye Omri vi, amesi nye Imri vi, amesi nye Bani vi tso Yuda vi Perez fe viwo dome
1CH	7	8	Fils de Béker: Zemira, Joasch, Éliézer, Éljoénaï, Omri, Jerémoth, Abija, Anathoth et Alameth, tous ceux-là fils de Béker,	Beher viwo nye: Zemira, Yoas, Eliezer, Elyoenai, Omri, Yeremot, Abiya, Anatot kple Alemet; wo katà nye Beher viwo
1CH	23	12	Fils de Kehath: Amram, Jitsehar, Hébron et Uziel, quatre.	Kehat viwo nye: Amram, Yiz- har, Hebron kple Uziel, wole wo ame ene
1CH	17	9	j’ai donné une demeure à mon peuple d’Israël, et je l’ai planté pour qu’il y soit fixé et ne soit plus agité, pour que les méchants ne le détruisent plus comme auparavant	Mana nofe nye duko Israel, eye mana woóado zunu anyi, be wóano enofe, eye magatsi dzi azo o, eye ame vódiwo magatsró wo abe tsà ene o, 10 eye abe le geyigi, si me medo wonudrolawo de nye duko Israel dzi la ene o. Mabobo wò futowo kata de anyi, eye mele be fà dem na wo be, Yehowa atso afe na wò
1CH	15	24	Schebania, Josaphat, Nethaneel, Amasaï, Zacharie, Benaja et Éliézer, les sacrificateurs, sonnaient des trompettes devant l’arche de Dieu. Obed-Édom et Jechija étaient portiers de l’arche.	Sebanya, Yosafat, Netaneel, Amasai, Zabar- ya, Benaya kple Eliezer wonye nunolawo, amesiwo kua kpé le Mawo fe adaka la ngo, eye Obed- Edom kple ehiya wonye agbo- nudzolawo le adaka la gbo
1CH	22	11	Maintenant, mon fils, que l’Éternel soit avec toi, afin que tu prospères et que tu bâtisses la maison de l’Éternel, ton Dieu, comme il l’a déclaré à ton égard!	Eyata vinye, Yehowa ano kpli wo, b kp. 16. d Fia. 1. 2,2. 3. f Kron.II. 3, 1. g Kron.II. 2,16. kp. 9; 23, 25. 7; 1 Fla, L1,28-49. natu Yehowa, wo Mawu, fe ho la ade poe dedie, abe alesi wógblo de nuwó ene
1CH	27	10	Le septième, pour le septième mois, était Hélets, le Pelonite, des fils d’Éphraïm; et il avait une division de vingt-quatre mille hommes.	Tete Dawid kafu Ma- wu le ameha blibo la nku me gblo bena: Woakafu wó Yehowa, mía fofo Israel fe Mawu, tso mavo me yi mavo me!
1CH	19	5	David, que l’on vint informer de ce qui était arrivé à ces hommes, envoya des gens à leur rencontre, car ils étaient dans une grande confusion; et le roi leur fit dire: Restez à Jéricho jusqu’à ce que votre barbe ait repoussé, et revenez ensuite.	Ke esi wova gblo nutsuawo nu nya na Dawid la, edo ame woda- Kpe wo, elabena wodo nukpe nu- tsuawo nuto, eye fia la gblo be: Mitsi Yeriho, vasede esime miafe ge nato, hafi miagbo!
1CH	12	18	Amasaï, l’un des principaux officiers, fut revêtu de l’esprit, et dit: Nous sommes à toi, David, et avec toi, fils d’Isaï! Paix, paix à toi, et paix à ceux qui te secourent, car ton Dieu t’a secouru! Et David les accueillit, et les plaça parmi les chefs de la troupe.	Tete gbogbo la dze Amasai, si nye ame blaetóawo fe tato la dzi wógblo bena: Dawid, . 29, 4. e Sam. IL2,18, f Sam.1L15,24; towo míenye; Isai vi, dziwó mte- le! Nutifafa, nutifafa enye towo, eye nutifafa nye amesi ho na wo la to, elabena Yehowa, wo Mawu la, ho na wó! Tete Dawid ho wo, eye wótso wo do tatowo de awa- kowo nu
1CH	23	14	Mais les fils de Moïse, homme de Dieu, furent comptés dans la tribu de Lévi.	Woyo !Mawu fe ame Mose fe viwo de Lewi fe to la me
1CH	22	15	Tu as auprès de toi un grand nombre d’ouvriers, des tailleurs de pierres, et des charpentiers, et des hommes habiles dans toute espèce d’ouvrages.	Do- wolawo le asiwó kpankpan, kpe- fulawo, glidolawo kple atikpalawo kpakple adanuwola vovovowo
1CH	2	10	Ram engendra Amminadab. Amminadab engendra Nachschon, prince des fils de Juda.	Ram dzi Aminadab, eye Ami- nadab dzi Naheson, amesi nye Yuda-viwo fe amega
1CH	25	28	le vingt et unième, à Hothir, ses fils et ses frères, douze;	Baal-Hanan, Gederito, le amiti kple gboti, siwo wodo ge tagba Ia nu; eye Yoas le ami, siwo wodzra do la nu
1CH	5	25	Mais ils péchèrent contre le Dieu de leurs pères, et ils se prostituèrent après les dieux des peuples du pays, que Dieu avait détruits devant eux.	Ke womedi anukware na wo fofowo fe Mawu 1a o, eye wodze anyigba dzi duko, siwo Mawu tsró le wo ngo la, fe mawuwo yome
1CH	15	13	Parce que vous n’y étiez pas la première fois, l’Éternel, notre Dieu, nous a frappés; car nous ne l’avons pas cherché selon la loi.	Ela- bena esi mieno etefe gbemagbe o la, eyata ?Yehowa, mía Mawu, de ame le mía dome, elabena míe- bia gbee se, abe alesi dze ene o
1CH	2	8	Fils d’Éthan: Azaria.	Etan viwo nye: Azarya
1CH	25	9	Le premier sort échut, pour Asaph, à Joseph; le second, à Guedalia, lui, ses frères et ses fils, douze;	Adelia, le dzinu adelia me, enye Ira, Ikes vi, tso Tekoa; efe ha la le ame akpe blave vo ene
1CH	26	29	Parmi les Jitseharites, Kenania et ses frères étaient employés pour les affaires extérieures, comme magistrats et juges en Israël.	Tete fia Dawid p 1o na ame- - ha blibo la bena: Salomo, vinye deka, si Mawu tia la, enye dekakpui dza, eye do la keke ta, elabena menye amegbeto fe fiasá wónye o, ke bon Yehowa, Mawu toe
1CH	6	4	Éléazar engendra Phinées; Phinées engendra Abischua;	Merari viwo nye: Maheli kple Musi. Esiawo nye Lewi viwo fe fomeawo le wo fofowo nu
1CH	15	29	Comme l’arche de l’alliance de l’Éternel entrait dans la cité de David, Mical, fille de Saül, regardait par la fenêtre, et voyant le roi David sauter et danser, elle le méprisa dans son cœur.	Esi Ye- howa fe nubabladaka la do Dawid fe dua me la, Mihal, Saul vinyonu, do ko de fesre nu kpo alesi fia Dawid le kpo tim le ge dumee; tete wódu fewu le enu le efe dzi me. Dawid dzi kafukafuha le nubabladaka la tsofe ; edo amewo hena Mawu subosubo
1CH	4	42	Il y eut aussi des fils de Siméon qui allèrent à la montagne de Séir, au nombre de cinq cents hommes. Ils avaient à leur tête Pelathia, Nearia, Rephaja et Uziel, fils de Jischeï.	Eye Si- meon-viwo dome ame alafa ató ho yi Seir-to dzi; wofe tatowo nye Yisei viwo: Pelatya, Nearya, Rc- faya kple Uziel
1CH	23	22	Éléazar mourut sans avoir de fils; mais il eut des filles, que prirent pour femmes les fils de Kis, leurs frères.	Eleazar medzi nutsuvia deke hafi ku o, negbe nyonuviwo ko, eye woge Kis fe ñutsuviwo, siwo nye wo noviwo
1CH	12	37	Et de l’autre côté du Jourdain, des Rubénites, des Gadites, et de la demi-tribu de Manassé, avec toutes les armes de guerre, cent vingt mille.	Amesiwo tso Yordan fe go keme dzi tso Ruben-viwo, Gad- viwo kple Manase fe to afá me, eye awawonu vovovowo le wo si la, wole ame akpe alafa deka blave
1CH	9	30	C’étaient des fils de sacrificateurs qui composaient les parfums aromatiques.	Eye nunolawo fe viwo dometoa dewo tsoa atike wewee daa kami sisi la
1CH	18	14	David régna sur tout Israël, et il faisait droit et justice à tout son peuple.	Ale Dawid du fia de Israel blibo la dzi, eye Wonudodró kple afiatsotso le esi na efe duko bli- bo la
1CH	2	43	Fils d’Hébron: Koré, Thappuach, Rékem et Schéma.	Hebron viwo nye: Korah, Tapuah, Rekem kple Sema
1CH	5	26	Le Dieu d’Israël excita l’esprit de Pul, roi d’Assyrie, et l’esprit de Tilgath-Pilnéser, roi d’Assyrie, et Tilgath-Pilnéser emmena captifs les Rubénites, les Gadites et la demi-tribu de Manassé, et il les conduisit à Chalach, à Chabor, à Hara, et au fleuve de Gozan, où ils sont demeurés jusqu’à ce jour.	Tete Israel fe Mawu 1a nyo Asur-fia ? Pul fegbogbo kple Asur-fia Tig- lat-Pileser fe gbogbo de wo, eye wokplo Ruben-viwo, Gad-viwo kple Manase fe to aia la dzo yi Halah, Habor kple Hara kpakple Gozan- tosisi la nu vasede egbe. Lewi fe dzidzimeviwo
1CH	9	35	Le père de Gabaon, Jeïel, habitait à Gabaon, et le nom de sa femme était Maaca.	Amesiwo no Gibeon, wonye: Gibeon fofo Yeuel; srba nko nye Maaha;!
1CH	3	21	Fils de Hanania: Pelathia et Ésaïe; les fils de Rephaja, les fils d’Arnan, les fils d’Abdias, les fils de Schecania.	Hananya viwo nye: Pelatya kple Yesaya, Refaya viwo, Arnan viwo, Obadya viwo, Sehanya vi- wo
1CH	24	22	Des Jitseharites: Schelomoth; des fils de Schelomoth: Jachath.	Yehiel vi- wo nye: Zetam kple novia Yoel; woawoe le Yehowa fe afe la fe ke- sinonuwo nu
1CH	8	29	Le père de Gabaon habitait à Gabaon, et le nom de sa femme était Maaca.	Gibeon fofo no Gibeon, eye sróa nko nye Maaha
1CH	8	28	Ce sont là des chefs de famille, chefs selon leurs générations. Ils habitaient à Jérusalem.	Amesiawo nye wofe afekowo fe tatowo le wofe fomeawo nu, eye wono Yerusa- lem
1CH	19	4	Alors Hanun saisit les serviteurs de David, les fit raser, et fit couper leurs habits par le milieu jusqu’au haut des cuisses. Puis il les congédia.	Tete Hanun na wolé Da- wid fe dolawo, wolü ge na wo, eye wolà wofe awu de domedo- mee de agonu, eye wodo mo wo
1CH	12	23	Voici le nombre des hommes armés pour la guerre qui se rendirent auprès de David à Hébron, afin de lui transférer la royauté de Saül, selon l’ordre de l’Éternel.	Amesiwo bla akpa de awa- wowo nu, eye wova Dawid gbo le Hebron, ne woagbugbo Saul fe fiadufe la ne le Yehowa fe nya nu la, fe hehléme enye si
1CH	12	24	Fils de Juda, portant le bouclier et la lance, six mille huit cents, armés pour la guerre.	Yu- da vi, siwo tsoa akpohonu kple akplo, eye wobla akpa de awawo- wo nu la, le ame akpe ade kple alafa enyi
1CH	13	8	David et tout Israël dansaient devant Dieu de toute leur force, en chantant, et en jouant des harpes, des luths, des tambourins, des cymbales et des trompettes.	Tete Dawid kple Israel blibo la le ge dum le Mawu nku me kple nusé Kaia de hadzidzi, sanku kple kasanku, asi- wui kple gakogoe kpakple kpéwo nu
1CH	14	9	Les Philistins arrivèrent, et se répandirent dans la vallée des Rephaïm.	Ke Fili- stitowo va kaka de Refaim-bali 1a me
1CH	18	2	Il battit les Moabites, et les Moabites furent assujettis à David et lui payèrent un tribut.	Esi Moabitowo, ale be Moabitowo zu Dawid teviwo, eye wodzo nu ne
1CH	3	15	Fils de Josias: le premier-né, Jochanan; le second, Jojakim; le troisième, Sédécias; le quatrième, Schallum.	Yosiya viwo nye: ngo- gbea nye Yohanan, evelia nye Yo- yakim, etolia nye Zedekiya, enelia nye Salum
1CH	7	23	Puis il alla vers sa femme, et elle conçut et enfanta un fils; il l’appela du nom de Beria, parce que le malheur était dans sa maison.	Eye wódo srõ gb wófo fu hedzi Butsuvi, eye wona nkoe be Beria, elabena dzogbevóe va efe afe dzi
1CH	23	6	David les divisa en classes d’après les fils de Lévi, Guerschon, Kehath et Merari.	Eye Dawid ma wo haha de Lewi viwo Gerson, Kehat kple Merari nu. 7 Gerson viwo nye: Laedan kple Simei
1CH	4	27	Schimeï eut seize fils et six filles. Ses frères n’eurent pas beaucoup de fils. Et toutes leurs familles ne se multiplièrent pas autant que les fils de Juda.	Nutsuvi wuiade kple nyonuvi ade n Simei si, ke vi gede meno noviawo ya si o, eye wofe fome mekeke ta de Yuda viwo t nu o
1CH	1	35	Fils d’Ésaü: Éliphaz, Reuel, Jeusch, Jaelam et Koré.	Esau viwo nye: Elifaz, Re- guel, Yehus, Yaelam kple Korah
1CH	19	18	David leur tua les troupes de sept mille chars et quarante mille hommes de pied, et il fit mourir Schophach, chef de l’armée.	Ke Aramtowo si le Israel nu, eye Dawid wu tasiadam nu so akpe adre kple afozola akpe blane le Aramtowo dome, eye wówu awafia Sofah hà
1CH	11	9	David devenait de plus en plus grand, et l’Éternel des armées était avec lui.	Ale Dawid le ako trim de dzi da, eye Yehowa Zebaot no kplii. Dawid £e kalétowo
