livre	chapitre	verset	fr	ewe
1CH	2	14	Nethaneel le quatrième, Raddaï le cinquième,	enelia nye Netaneel, atólia nye Radai, 15 adelia nye Omew, adrelia nye Dawid
1CH	12	30	Des fils d’Éphraïm, vingt mille huit cents, hommes vaillants, gens de renom, d’après les maisons de leurs pères.	Amesiwo tso Efrayim- viwo dome la, le ame akpe blave kple alafa enyi, eye wonye nutsu kalétowo kple ame nkonuwo le wofe afekowo me
1CH	27	6	Ce Benaja était un héros parmi les trente et à la tête des trente; et Ammizadab, son fils, était l’un des chefs de sa division.	Tete afekowo fe amegawo, Israel-toawo fe amegáwo, ame akpewo kple ame alafawo fe ame- gawo kpakple fia fe dowolawo fe amegawo 10 fà, 7 eye wona si- ka talento akpe ato, dariko akpe ewo, klosalo talento akpe ewo, akobli talento akpe wuienyi kple gà yibo talento akpe alafa deka de Mawu £e afe fe do la ñu
1CH	22	5	David disait: Mon fils Salomon est jeune et d’un âge faible, et la maison qui sera bâtie à l’Éternel s’élèvera à un haut degré de renommée et de gloire dans tous les pays; c’est pourquoi je veux faire pour lui des préparatifs. Et David fit beaucoup de préparatifs avant sa mort.	Eye Dawid gblo bena: Vinye Salomo kenye dekakpui dza ko, eye ho, si wole tutu ge na Yehowa la, ele be, wóalolo nuto, ne efe nko kple bubu nade anyi- gbawo Kaia dzi, eyata mafo nuwo nu fu di ne! Ale Dawid fo nuwo nu fu tantan hafi va ku
1CH	7	3	Fils d’Uzzi: Jizrachja. Fils de Jizrachja: Micaël, Abdias, Joël, Jischija, en tout cinq chefs;	Uzi viwo nye Yizrahya, eye Yizrahya viwo nye: Mihael, Obad- ya, Yoel kple Yisiya; wole wo ame ato; wo kata wonye tatowo
1CH	21	29	Mais le tabernacle de l’Éternel, construit par Moïse au désert, et l’autel des holocaustes, étaient alors sur le haut lieu de Gabaon.	Ke gemagi Yehowa fe nofe, si Mose wo le gbedzi kple numevosamlekpui la no vosafe le Gibeon
1CH	10	2	Les Philistins poursuivirent Saül et ses fils, et tuèrent Jonathan, Abinadab et Malki-Schua, fils de Saül.	Filistitowo de Saul kple viawo de nu, eye Fili- stitowo wu Saul viwo, siwo nye: Yonatan, Abinadab kple Malhisua
1CH	3	19	Fils de Pedaja: Zorobabel et Schimeï. Fils de Zorobabel: Meschullam et Hanania; Schelomith, leur sœur;	Pe- daya fe viwo nye: Zerubabel kple Simei. Zerubabel fe viwo nye: Me- sulam kple Hananya; wo novinyo- nu enye Selomit; 20 emegbe Ha- suba, Ohel, Berehya, Hasadya kple Yusab-Hesed, wole wo ame ato
1CH	12	31	De la demi-tribu de Manassé, dix-huit mille, qui furent nominativement désignés pour aller établir roi David.	Amesiwo tso Manase ge to afa me la, wole ame akpe wuienyi, amesiwo fe nko wonlo di, ne woava atso Dawid ado fiae
1CH	7	40	Tous ceux-là étaient fils d’Aser, chefs des maisons de leurs pères, hommes d’élite et vaillants, chefs des princes, enregistrés au nombre de vingt-six mille hommes, en état de porter les armes et d’aller à la guerre.	Amesiawo kata nye Aser viwo, afekowo fe tatowo, nu- tsu kaléto tiatia, siwo nye ame- gawo fe tatowo, eye wonlo wote nkowo di hena awawowo; wofe hehléme le ame akpe blave vo ade
1CH	4	3	Voici les descendants du père d’Étham: Jizreel, Jischma et Jidbasch; le nom de leur sœur était Hatselelponi.	Etam viwo nye: Yezreel, Yisma, Yidbas; wo novinyonu nko nye Hazlelponi; 4 emegbe Ge- dor fofo Penuel kple Husa fofo Ezer. Amesiawo nye Betlehem fofo Hur, amesi nye Efrata fe/ngo- gbea, fe viwo
1CH	24	25	frère de Michée: Jischija; des fils de Jischija: Zacharie.	Eye novia Eliezer viwo nye: Rehabya, eya fe vi nye Yesaya, eya fe vi nye Yoram, eya fe vi nye Zihri, eya fe vi nye Se- lomot
1CH	9	18	et jusqu’à présent il est à la porte du roi, à l’orient. Ce sont là les portiers pour le camp des fils de Lévi.	Ele fia fe agbo nu le gedzefe gome vasede fifi. Amesiawo nye Lewi- viwo fe asada fe agbonudzolawo
1CH	17	21	Est-il sur la terre une seule nation qui soit comme ton peuple d’Israël, que Dieu est venu racheter pour en former son peuple, pour te faire un nom et pour accomplir des miracles et des prodiges, en chassant des nations devant ton peuple que tu as racheté d’Égypte?	Duko ka de wó duko Israel nu, anyigba dzi duko, si dede ko mawua de yi, be yeadee awo duko na edo- kui, ne yeawo nu gà dziñowo ahade nko edokui ñu, ape alesi nënyá dukowo le wo duko, si në- de tso Egipte la ngo ene?
1CH	15	16	Et David dit aux chefs des Lévites de disposer leurs frères les chantres avec des instruments de musique, des luths, des harpes et des cymbales, qu’ils devaient faire retentir de sons éclatants en signe de réjouissance.	Eye Dawid gblo na Lewi- viwo fe amegáwo be, woade wo novi, siwo nye hadzilawo, ne woa- tso hadzinuawo, siwo nye: sanku- wo, kasankuwo kple gakogoewo, eye woana dzidzoha nade dzi
1CH	25	28	le vingt et unième, à Hothir, ses fils et ses frères, douze;	Baal-Hanan, Gederito, le amiti kple gboti, siwo wodo ge tagba Ia nu; eye Yoas le ami, siwo wodzra do la nu
1CH	4	40	Ils trouvèrent de gras et bons pâturages, et un pays vaste, tranquille et paisible, car ceux qui l’habitaient auparavant descendaient de Cham.	Eye wokpo lànyife dama nyuia de; anyigba la keke le goawo katá me, eye 'enu fa boko; elabena Ham-viwo no afi- ma tsà
1CH	23	23	Fils de Muschi: Machli, Éder et Jerémoth, trois.	Hebron viwo nye: Yeriya, amesi nye tato, evelia nye Amar- ya, etólia nye Yahaziel, enelia nye Yekamam
1CH	7	39	Fils d’Ulla: Arach, Hanniel et Ritsja.	Ula viwo nye: Arah, Haniel kple Rizya
1CH	12	33	De Zabulon, cinquante mille, en état d’aller à l’armée, munis pour le combat de toutes les armes de guerre, et prêts à livrer bataille d’un cœur résolu.	Amesiwo tso Zebulon-viwo dome; va awakoa me, eye wotso aWawo- nu vovovowo bla akpae la, wole ame akpe blaató, wofo fu de du, eye dzi deka li na wo
1CH	2	27	Les fils de Ram, premier-né de Jerachmeel, furent: Maats, Jamin et Éker.	Yerahmeel ngogbevi Ram fe viwo nye: Maaz, Yamin kple Eker
1CH	15	26	Ce fut avec l’assistance de Dieu que les Lévites portèrent l’arche de l’alliance de l’Éternel; et l’on sacrifia sept taureaux et sept béliers.	Eye esi Mawu kpe de Lewi-vi, siwo tso Yehowa fe nubabladaka nuti 1a, wotso nyitsu adre kple agbo adre sa voe
1CH	4	18	Sa femme, la Juive, enfanta Jéred, père de Guedor, Héber, père de Soco, et Jekuthiel, père de Zanoach. Ceux-là sont les fils de Bithja, fille de Pharaon, que Méred prit pour femme.	Eye rga, Yuda-nyonu la, dzi Yered, si nye Gedor fofo kple Heber, si nye Soho fofo, kpakple Y ekutiel, si nye Zanoah fofo
1CH	12	8	Parmi les Gadites, des hommes vaillants partirent pour se rendre auprès de David dans la forteresse du désert, des soldats exercés à la guerre, armés du bouclier et de la lance, semblables à des lions, et aussi prompts que des gazelles sur les montagnes.	Amesiwo de wo dokui le Gad-viwo dome va Dawid gbo le mõ me le gbedzi la, wonye nutsu kalétowo kple aWamewo, amesiwo kplaa akpohonu kple akplo, wofe mo le abe dzata fe mo ene, eye *wodea abla le towo dzi abe ziwo ene
1CH	23	14	Mais les fils de Moïse, homme de Dieu, furent comptés dans la tribu de Lévi.	Woyo !Mawu fe ame Mose fe viwo de Lewi fe to la me
1CH	8	39	Fils d’Eschek, son frère: Ulam, son premier-né, Jeusch le second, et Éliphéleth le troisième.	Novia Esek fe viwo nye: Ulam, si nye efe ipopЬea, evelia nye Yeus, etolia nye Eli- felet
1CH	13	10	La colère de l’Éternel s’enflamma contre Uzza, et l’Éternel le frappa parce qu’il avait étendu la main sur l’arche. Uzza mourut là, devant Dieu.	Tete Yehowa do domedzoe de Uza nu, eye wófoe, le esi wódo efe asi da lé adaka la ta, eye wò- ku le afima le Mawu nku me
1CH	27	4	A la tête de la division du second mois était Dodaï, l’Achochite; Mikloth était l’un des chefs de sa division; et il avait une division de vingt-quatre mille hommes.	Ofir-sika talento akpe eto, klo- salo nyuito talento akpe adre, ne woatso afa de howo fe gliwo nu, 5 eye woatso wo awo sikanuawo kata kple klosalonuawo kata kpa- kple adanuwolawo fe do vovovoa- woe. A20, amekae 16 le edokui 51 be, yeana nu Yehowa egbea?
1CH	24	21	de Rechabia, des fils de Rechabia: le chef Jischija.	Laedan, amesi tso Gerson viwo dome, fe viwo, siwo nye Gerson vi Laedan fe afekowo fe tatowo, wonye Yebiel viwo
1CH	3	16	Fils de Jojakim: Jéconias, son fils; Sédécias, son fils.	Yoyakim viwo nye: Yehonya, eya fe vi nye Zedekiya
1CH	8	6	Voici les fils d’Échud, qui étaient chefs de famille parmi les habitants de Guéba, et qui les transportèrent à Manachath:	Ehud viwo nye esi: woawo nye Gebatowo fe afekowo fe tatowo, eye wode aboyo wo yi Manahat; 7 Naaman, Ahiya kple Gera, eya nye amesi de aboyowo eye wó- dzi Uza kple Ahihud
1CH	7	9	et enregistrés dans les généalogies, selon leurs générations, comme chefs des maisons de leurs pères, hommes vaillants au nombre de vingt mille deux cents.	Wofe afekowo fe tatowo, siwo nye nu- tsu kalétowo, le ame akpe blave kple alafa eve le wofe fomeawo nu le wofe dzidzimegbalé la me
1CH	22	9	Voici, il te naîtra un fils, qui sera un homme de repos, et à qui je donnerai du repos en le délivrant de tous ses ennemis d’alentour; car Salomon sera son nom, et je ferai venir sur Israël la paix et la tranquillité pendant sa vie.	Kpo da, wole nutsuvia de dzi ge na wó, amesi anye nutifafame, eye mana gbo- dzoe le efe futowo kata si me godo, elabena Salomo anye efe niko, eye mana nutifafa kple gbodeme Is- rael le efe agbe me nkekewo kata me
1CH	11	23	Il frappa un Égyptien d’une stature de cinq coudées et ayant à la main une lance comme une ensouple de tisserand; il descendit contre lui avec un bâton, arracha la lance de la main de l’Égyptien, et s’en servit pour le tuer.	Eya wu Egipte- nutsu kako, si didi aboklugui ato la. Akplo le Egipteto la si le babe abaladoti ene; ke eya yi egbo kple atizoti, eye wóho akplo la le Egip- teto la si hetso eya nuto fe akplo wui
1CH	25	12	le cinquième, à Nethania, ses fils et ses frères, douze;	Asiekelia, le dzinu asiekelia me, enye Anatotito Abiezer tso Benyamin-viwo dome; efe ha la le ame akpe blave vo ene
1CH	9	33	Ce sont là les chantres, chefs de famille des Lévites, demeurant dans les chambres, exempts des autres fonctions parce qu’ils étaient à l’œuvre jour et nuit.	Amesiawo nye hadzilawo, siwo nye Lewi-vi- wo fe afekowo fe tatowo, amesiwo mewoa do bubua deke le wofe afe- wo me o, elabena do le wo si nke- ke kple zà
1CH	2	10	Ram engendra Amminadab. Amminadab engendra Nachschon, prince des fils de Juda.	Ram dzi Aminadab, eye Ami- nadab dzi Naheson, amesi nye Yuda-viwo fe amega
1CH	13	12	David eut peur de Dieu en ce jour-là, et il dit: Comment ferais-je entrer chez moi l’arche de Dieu?	Eye Dawid vó Mawu gbemagbe hegblo bena: Aleke matso Mawu fe ada- ka la ava gbonyee?
1CH	9	22	Ils étaient en tout deux cent douze, choisis pour portiers des seuils, et enregistrés dans les généalogies d’après leurs villages; David et Samuel le voyant les avaient établis dans leurs fonctions.	Ame- siawo kata, siwo wotia hena kpui- nudzodzo la, le ame alafa eve kple wuieve; wonlo wofe nkowo le wofe kofewo me, eye Dawid kple hnukpola Samuel wonye amesiwo tso wo de wofe do la me
1CH	7	22	Éphraïm, leur père, fut longtemps dans le deuil, et ses frères vinrent pour le consoler.	Tete wo fofo Efrayim fà na wo etefe didi, eye noviawo va, be woafa ako ne
1CH	12	32	Des fils d’Issacar, ayant l’intelligence des temps pour savoir ce que devait faire Israël, deux cents chefs, et tous leurs frères sous leurs ordres.	Amesiwo tso Isahar- nya le tagbo na, eye wonya ġe- yigi, si dzi Israel awo nane; wofe tatowo le ame alafa eve, eye wo noviwo katà sea wofe gbe
1CH	24	20	Voici les chefs du reste des Lévites. Des fils d’Amram: Schubaël; des fils de Schubaël: Jechdia;	Eye wotso wo novi Lewi-vi- wo do Mawu fe afe la fe kesino- nuwo kple nu kokoeawo nu
1CH	1	46	Huscham mourut; et Hadad, fils de Bedad, régna à sa place. C’est lui qui frappa Madian dans les champs de Moab. Le nom de sa ville était Avith.	Esi Husam ku la, Hadad, Bedad vi, zu F fia de etefe; eya si Midiantowo le Moab-tagba; efe du enye Awit
1CH	7	6	Fils de Benjamin: Béla, Béker et Jediaël, trois.	Benyamin viwo nye: Bela, Beher kple Yediael, wole wo ame eto
1CH	8	3	Les fils de Béla furent: Addar, Guéra, Abihud,	Bela viwo nye: Adar, Gera, Abi- hud, 4 Abisua, Naaman, Ahoah, 9 Gera, Sefufan kple Huram
1CH	26	1	Voici les classes des portiers. Des Koréites: Meschélémia, fils de Koré, d’entre les fils d’Asaph.	Sam.1I.15,37. n Sam. 1I. 8, 16. . 25,9. la, nu fu de Yerusalem hekpe de afedzikpolawo, kalétowo kple nu- tsu nkumesesétowo Kaia nu
1CH	23	17	Et les fils d’Éliézer furent: Rechabia, le chef; Éliézer n’eut pas d’autre fils, mais les fils de Rechabia furent très nombreux.	Eliezer viwo nye: Re- habya, amesi nye tato; vinutsu bubua deke megano Eliezer sio; ke PRehabya viwo so gbọ nuto. 18Yizhar viwo nye: Selomit, amesi nye tato
1CH	16	43	Tout le peuple s’en alla chacun dans sa maison, et David s’en retourna pour bénir sa maison.	Esi duko blibo la do- me amesiame yi efe honu la, Da- wid tro, be yeadado gbe na efe- metowo. Dawid di bena, yeatu gbedoho, eye Mawu do Hindufe mavo na efe fome
1CH	23	21	Fils de Merari: Machli et Muschi. Fils de Machli: Éléazar et Kis.	Merari viwo nye: Mahli kple Musi. Mahli viwo nye: Eleazar kple Kiz
1CH	7	34	Fils de Schamer: Achi, Rohega, Hubba et Aram.	Somer viwo nye: Ahi, Roga, Huba kple Aram
1CH	9	28	Quelques-uns des Lévites prenaient soin des ustensiles du service, qu’ils rentraient en les comptant et sortaient en les comptant.	Wotso dowonuawo de wo dometoa dewo si, be woatso wo ava emee dedie, eye woatso wo adoe dedie
1CH	8	12	Fils d’Elpaal: Éber, Mischeam, et Schémer, qui bâtit Ono, Lod et les villes de son ressort.	Elpaal viwo nye: Eber, Misam, kple Se- mer; eya tso Ono kple Lod kpa- kple wo nu duwo
1CH	17	4	Va dire à mon serviteur David: Ainsi parle l’Éternel: Ce ne sera pas toi qui me bâtiras une maison pour que j’en fasse ma demeure.	Yi, na- gblo na nye dola Dawid be: Ale Yehowa gblo esi: Menye woe atu ho nam mano me 0; 5 elabena tso gbesigbe mekplo Israel la, nye- meno hoa deke me vasede egbe o, ke bon metsa tso agbado me yi agbado me, eye tso nofe yi no- fe
1CH	9	5	Des Schilonites: Asaja, le premier-né, et ses fils.	Amesiwo tso Silontowo dome, wo- nye: Asaya, amesi nye ngogbevi, kple viawo
1CH	16	23	Chantez à l’Éternel, vous tous habitants de la terre!	/Anyigbawo kata, midzi ha na Yehowa; mide gbe fà efe hoho la gbawotsyogbe!
1CH	23	4	Et David dit: Qu’il y en ait vingt-quatre mille pour veiller aux offices de la maison de l’Éternel, six mille comme magistrats et juges,	Amesiawo do- meto akpe blave vo ene nano Ye- howa ho la fe do nu, eye ame akpe ade nanye dodzikpolawo kple wo- nudroólawo; 5 ame akpe ene na- nye agbonudzolawo, eye ame akpe SRRONICA
1CH	1	40	Fils de Schobal: Aljan, Manahath, Ébal, Schephi et Onam. Fils de Tsibeon: Ajja et Ana.	Sobal viwo nye: Alyan, Manahat, Ebal, Sefi kple Onam. Zibeon viwo nye: Aya kple Ana
1CH	2	46	Épha, concubine de Caleb, enfanta Haran, Motsa et Gazez. Haran engendra Gazez.	Eye Kaleb fe ahià Efa dzi Haran, Moza kple Gazez; ke Haran ye dzi Gazez
1CH	4	8	Kots engendra Anub et Hatsobéba, et les familles d’Acharchel, fils d’Harum.	Koz dzi Anub, Hazobeba kple Harum vi Aharhel fe fomeawo
1CH	11	18	Alors les trois hommes passèrent au travers du camp des Philistins, et puisèrent de l’eau de la citerne qui est à la porte de Bethléhem. Ils l’apportèrent et la présentèrent à David; mais David ne voulut pas la boire, et il la répandit devant l’Éternel.	Tete ame etõawo dage de Filistitowo fe asada la me, eye woku tsi le vudo, si le agboa me le Betlehem la me hetso ve na Dawid; ke Dawid gbe be, yema- noe o, hafi bon etsoe fo ge anyi na Yehowa 19 hegblo bena: Nye Mawu nena esia wowo nade megbe ha tso gbonye! De mano nutsu siawo fe wu, si nye wofe agbea? Elabena wotso wofe agbe ke hafi kui ve! Eye wógbe be, yemanoe o. Kaléto etóawoe wo nusia
1CH	2	28	Les fils d’Onam furent: Schammaï et Jada. Fils de Schammaï: Nadab et Abischur.	Onam viwo nye: Samai kple Yada. Samai vi- wo nye: Nadab kple Abisur
1CH	9	19	Schallum, fils de Koré, fils d’Ébiasaph, fils de Koré, et ses frères de la maison de son père, les Koréites, remplissaient les fonctions de gardiens des seuils de la tente; leurs pères avaient gardé l’entrée du camp de l’Éternel,	Salum, Kore vi, amesi nye Eb- yasaf vi, amesi nye Korah vi, kple novia, siwo tso efe afeko a me; wotso do la de asi na Korah vi- wo, be woadzo agbado la fe kpui nu, /abe alesi wo fofowo nye mo- nudzolawo le Yehowa fe asada la me ene
1CH	24	23	Fils d’Hébron: Jerija, Amaria le second, Jachaziel le troisième, Jekameam le quatrième.	Amesiwo tso Am- ram-hawo, Yizhar-hawo, Hebron- hawo kple Uziel-hawo dome, wo- nye
1CH	9	38	Mikloth engendra Schimeam. Ils habitaient aussi à Jérusalem près de leurs frères, avec leurs frères.	Miklot dzi Simeam, eye eya kple noviawo ha no wo nọ- viwo kasa le Yerusalem
1CH	19	4	Alors Hanun saisit les serviteurs de David, les fit raser, et fit couper leurs habits par le milieu jusqu’au haut des cuisses. Puis il les congédia.	Tete Hanun na wolé Da- wid fe dolawo, wolü ge na wo, eye wolà wofe awu de domedo- mee de agonu, eye wodo mo wo
1CH	23	6	David les divisa en classes d’après les fils de Lévi, Guerschon, Kehath et Merari.	Eye Dawid ma wo haha de Lewi viwo Gerson, Kehat kple Merari nu. 7 Gerson viwo nye: Laedan kple Simei
1CH	3	17	Fils de Jéconias: Assir, dont le fils fut Schealthiel,	Yehonya, amesi nye 'aboyome la, fe viwo nye: Sealtiel, 18 Mal- hiram, Pedaya, Senazar, Yekam- ya, Hosama kple Nedabya
1CH	5	7	Frères de Beéra, d’après leurs familles, tels qu’ils sont enregistrés dans les généalogies selon leurs générations: le premier, Jeïel; Zacharie;	Ale wonlo no- via, siwo tso efe fomea me la, de dzidzimegbalé la me le wofe dzi- dzime nu enye si: Yeiel, si nye tato, Zaharya, 8 Bela, Azaz vi, amesi nye Sema vi, amesi nye Yoel vi; eya no Aroer vasede Nebo kple Vaae-Meon; 9 eno gedzefe gome do ta gbedzi tso Frat-tosisi la nu, elabena wofe lawo dzi de dzi le Gilead-nyigba dzi
1CH	15	23	Bérékia et Elkana étaient portiers de l’arche.	Berehya kple Elkana wonye agbonudzola- wo le adaka la gbo
1CH	4	41	Ces hommes, inscrits par leurs noms, arrivèrent du temps d’Ézéchias, roi de Juda; ils attaquèrent leurs tentes et les Maonites qui se trouvaient là, ils les dévouèrent par interdit jusqu’à ce jour, et ils s’établirent à leur place, car il y avait là des pâturages pour leurs troupeaux.	Tete amesiwo nko wonio di la, va gbà wofe agba- a Fia. II. 18, 1. d ,3.8. . 46, 10. f , 22; . 49,8.10. 22; Mo. V. 33, . 6, 14. i Yos. 19, 2 8. k kp. 26. t Won. 18, 7. dowo, eye wowu Meunito, siwo no afima le Yuda-fia Hizkiya noli: wotsro wo gbidigbidi vasede egbe heno wo tefe, elabena lànyife le afima na wofe lawo
1CH	18	11	Le roi David les consacra à l’Éternel, avec l’argent et l’or qu’il avait pris sur toutes les nations, sur Édom, sur Moab, sur les fils d’Ammon, sur les Philistins et sur Amalek.	Eye fia Dawid ko woawo ha nu na Yehowa hekpe de klo- salo kple sika, siwo woho le du- kowo kata si la nuti; cho wo le Edomtowo, Moabitowo, Amon-vi- wo, Filistitowo kple Amalekitowo si
1CH	10	6	Ainsi périrent Saül et ses trois fils, et toute sa maison périt en même temps.	Ale Saul kple via etóawo kpakple efe afe blibo la woku zi deka
1CH	14	2	David reconnut que l’Éternel l’affermissait comme roi d’Israël, et que son royaume était haut élevé, à cause de son peuple d’Israël.	Eye Dawid dze sii be, Ye- howa ye do ye, be yeanye tia de Israel nu, elabena ete fiadufe nko de du le efe duko Israel ta
1CH	24	4	Il se trouva parmi les fils d’Éléazar plus de chefs que parmi les fils d’Ithamar, et on en fit la division; les fils d’Éléazar avaient seize chefs de maisons paternelles, et les fils d’Ithamar huit chefs de maisons paternelles.	Heman hawo nye esi: Heman viwo nye: Bukiya, Ma- tanya, Uziel, Sebuel, Yerimot, Na- nanya, Hanani, Eliata, Gidalti, Ro- mamti-Eser, Yosbekasa, Maloti, Hotir kple Mahasiot
1CH	15	1	David se bâtit des maisons dans la cité de David; il prépara une place à l’arche de Dieu, et dressa pour elle une tente.	Eye wotu howo na edokui de = Dawid fe du la me, eye wo- wo nofe na Mawu fe adaka la, eye wotu agbado ne
1CH	21	21	Lorsque David arriva auprès d’Ornan, Ornan regarda, et il aperçut David; puis il sortit de l’aire, et se prosterna devant David, le visage contre terre.	Esi Da- be mewo nusia, eyata tso wo dola wid va Ornan gbo, eye Ornan fo fe vodada Kee, elabena mewo 1a- ko dzi kpo Dawid la, edo tso lu- nu nuto. gbofe la dade ta agu de Dawid 9 Eye Yehowa gblo na Dawid nku me
1CH	11	15	Trois des trente chefs descendirent auprès de David sur le rocher dans la caverne d’Adullam, lorsque le camp des Philistins était dressé dans la vallée des Rephaïm.	Tatowo dometo eib va Dawid ppo le agakpe la dzi le Adulam-mó la me, esime Filistitowo fe awako fu asada anyi de Refaim-bali la me
1CH	2	31	Fils d’Appaïm: Jischeï. Fils de Jischeï: Schéschan. Fils de Schéschan: Achlaï.	Apayim viwo nye: Yisi, eye Yi- 51 viwo nye: Sesan; Sesan viwo nye: Áhelai
1CH	17	3	La nuit suivante, la parole de Dieu fut adressée à Nathan:	Ke eva me le zà me be, Mawu fe gbe va Natan gbo bena
1CH	23	9	Fils de Schimeï: Schelomith, Haziel et Haran, trois. Ce sont là les chefs des maisons paternelles de la famille de Laedan.	Simei viwo nye: Selomit, Haziel kple Haran, wole wo ame eto. Woawo nye Laedan fe afe- kowo fe tatowo
1CH	25	9	Le premier sort échut, pour Asaph, à Joseph; le second, à Guedalia, lui, ses frères et ses fils, douze;	Adelia, le dzinu adelia me, enye Ira, Ikes vi, tso Tekoa; efe ha la le ame akpe blave vo ene
1CH	27	11	Le huitième, pour le huitième mois, était Sibbecaï, le Huschatite, de la famille des Zérachites; et il avait une division de vingt-quatre mille hommes.	Yehowa, towóe nye gányenye kple nusé, nutiko- koe, bubu kple kafukafu, elabena nusianu, si le dzifo kple anyigba la, towóe. Yehowa, towòe nye fia- dufe, eye wóe do kpo de nusiwo kata fe nko de dzi la dzi
1CH	20	5	Il y eut encore une bataille avec les Philistins. Et Elchanan, fils de Jaïr, tua le frère de Goliath, Lachmi de Gath, qui avait une lance dont le bois était comme une ensouple de tisserand.	Emegbe wogawo awa kple Fi- listitowo, eye Elhanan, Yair-vi, wu Goliat novi Lami tso Gat, amesi fe akploti le abe abaladoti ene
1CH	27	20	des fils d’Éphraïm: Hosée, fils d’Azazia; de la demi-tribu de Manassé: Joël, fils de Pedaja;	Eye Dawid gblo na ameha blibola bena: Mikafu Yehowa, mia Mawu la! Tete ameha blibo la kafu Yehowa, wo fofowo fe Mawu la, eye wobobo hede ta agu de Yehowa kple fia la nku me
1CH	10	7	Tous ceux d’Israël qui étaient dans la vallée, ayant vu qu’on avait fui et que Saül et ses fils étaient morts, abandonnèrent leurs villes pour prendre aussi la fuite. Et les Philistins allèrent s’y établir.	Esi Israel-hutsu, siwo kata no bali la me, kpo be, wosi, eye Saul kple viawo ku la, wogblé wofe duwo a Mo.1II.24, 5.8. b kp. 14 16. . 2, 5. J Sam. I. 15,11. . 28, 8. h kp. 1 9 kpo Sam.II.5,1-10. . 29, 14. . 31. I Sam. I. 16, 1. me
1CH	27	18	de Juda: Élihu, des frères de David; d’Issacar: Omri, fils de Micaël;	Yehowa, mía fofowo Abraham, Isak kple Israel fe Mawu, dzra susu kple tamedodo sia do de wó duko fe dzime tegbé, eye natro wofe dzi- wo de nuwó!
1CH	5	25	Mais ils péchèrent contre le Dieu de leurs pères, et ils se prostituèrent après les dieux des peuples du pays, que Dieu avait détruits devant eux.	Ke womedi anukware na wo fofowo fe Mawu 1a o, eye wodze anyigba dzi duko, siwo Mawu tsró le wo ngo la, fe mawuwo yome
