ID;reference;francais;ewe;statut
21;JER 36:26;Le roi ordonna à Jerachmeel, fils du roi, à Seraja, fils d’Azriel, et à Schélémia, fils d’Abdeel, de saisir Baruc, le secrétaire, et Jérémie, le prophète. Mais l’Éternel les cacha.;"Eye fia la de se na fiavi Yerahmeel kple Seraya, Azriel vi, kpakple Selemya, Ab- diel vi, be woadakplo agbalénlola Baruh kple nyagblodila Yeremya ve; ke Yehowa tso wo gla";
22;PHM 1:19;Moi Paul, je l’écris de ma propre main, je paierai, pour ne pas te dire que tu te dois toi-même à moi.;"Nye Paulo nutoe tso nye asi nloe, mahe fea; nyemeló be, magblo na wo bena, wo nuto dokuiwó go hà fe fe nenyi le asinye o";
23;GEN 21:34;Abraham séjourna longtemps dans le pays des Philistins.;"Ke Abraham nye ` ' wogblona vasede egbegbe bena: w u, ү dere: fe anyi- me 9 dal aniei Yehowa dea edo- gba dzi etefe didi. ui fiana le. Mawu do Abraham Kpo. Mawu do kpe nugbedodo la dzi. : ; 15 Eye Yehowa fe dola gayo 2 2. ie nya siawo megbe la Mais? Abraham zi evelia tso dzifo 16 he- gblone bena: Abraham! Edo ñu ne ! . cpe bena: ¿Meta dokuinye, ela- bena: Nye enye si!";
24;LUK 16:16;"La loi et les prophètes ont subsisté jusqu’à Jean; depuis lors, le royaume de Dieu est annoncé, et chacun use de violence pour y entrer.\wj*";"Se la kple nyagblodilawo no anyi va- sede Yohanes dzi; tso ekema dzi la wole mawufiadufe fe nyanyuie la gblom fia, eye amesiame yi de eme sesētoe.!";
25;PSA 18:8;La terre fut ébranlée et trembla,;Tete anyigba wanya, eye wowuwu, to- wo ge anyinowo Wuwu, eye wo- dzo kpekpékpe, elabena dzi kui;
26;ROM 14:14;Je sais et je suis persuadé par le Seigneur Jésus que rien n’est impur en soi, et qu’une chose n’est impure que pour celui qui la croit impure.;Menyae, eye mekpo kakadedzi le Afeto Yesu me 'bena, naneke menye kogblédonu le edokui si o, negbe amesi ke bua nane kogblédonu la, eyama wózu kogblédonu na;
27;1TI 5:18;Car l’Écriture dit: Tu n’emmuselleras point le bœuf quand il foule le grain. Et l’ouvrier mérite son salaire.;Ela- bena nonlo la gblo be: „Meva- bla nu na nyitsu, si le moli tugum la o, eye: *,Dotsola dze efe fe- tu. 19 Ne wotso hamemegaa de nu la, megahoe o, negbe le dase- dila eve alo etó nu ko./ 20 Ame- siwo wo nuvó la, ka mo na wo le amewo kata nku me, bene ma- mleawo hà nayb;
28;ZEP 2:5;Malheur aux habitants des côtes de la mer, à la nation des Kéréthiens!;Baba na mi Kreta-duko, mi, amesiwo le atsiafu nu! !Filistitowo fe anyi- gba Kanaan, mia nue Yehowa fe gbe va do, eye matsró wò, ale be ame navo le dziwó;
29;HOS 6:7;"Ils ont, comme le vulgaire, transgressé l’alliance;";Ke woa- wo tu nye nubabla la abe *Adam ene, eye wotro wu le yonyeme le afima;
30;JOS 11:9;"Josué les traita comme l’Éternel lui avait dit; il coupa les jarrets à leurs chevaux, et il brûla leurs chars au feu.";"Eye Yo- sua wo, abe alesi Yehowa gblo ne ene; etu ata na wofe sowo, eye wóto dzo wofe tasiadamwo";
31;EZK 36:15;Je ne te ferai plus entendre les outrages des nations,;Nye- mana nagase dukowo fe vlodoa- me azo o, màgatso dukowo fe ñu- kpedoame amo o, eye máàgade vi le wò duko Ru ano o, Afeto Ye- howa ye gbloe. Dzi yeye rugbedodo;
32;HAB 2:9;Malheur à celui qui amasse pour sa maison des gains iniques,;Baba na amesi tafaa ame na efe afe, ne wàawo ato de dzifo wi, be wòasi le dzogbevóe nu la!;
33;PRO 31:14;Elle est comme un navire marchand,;Ele abe asiwu ene, eye wohea nududu tso didife ve;
34;NAM 1:9;Que méditez-vous contre l’Éternel?;Tame ka miebe, yewoado de Yehowa nu? Ele nu tsró ge, eye haha mado ta da zi evelia o;
35;ISA 26:8;"Aussi nous t’attendons, ô Éternel! Sur la voie de tes jugements;";"Yehowa, míekpo mo na wò le wo Wonudodrüwo fe mo dzi ke ha; wo nko kple wo kafu- kafu dzro luwowo";
36;ISA 45:15;Mais tu es un Dieu qui te caches,;"Vavàe, wò Israel £e Mawu, honameto la, Ma- wu gagla nénye!i 16 Nukpe lé wo kata, eye wofe mo tsi dà; le- gbamélawo katá le yiyim le vlo- dodo me";
37;RUT 2:19;Sa belle-mère lui dit: Où as-tu glané aujourd’hui, et où as-tu travaillé? Béni soit celui qui s’est intéressé à toi! Et Ruth fit connaître à sa belle-mère chez qui elle avait travaillé: L’homme chez qui j’ai travaillé aujourd’hui, dit-elle, s’appelle Boaz.;Eye Ióhoa biae bena: Afika neyi dafoe le egbea? -Eye afika néwo do le? Woayra amesi bu wo ale! Tete wóto amesi gbo wo- wo do le la, na lóhoa gblo bena: Nutsu, si gbo mewo do le la, nko nye Boas;
38;ISA 44:11;Voici, tous ceux qui y travaillent seront confondus,;"Kpo da, nu akpe wo hatiwo kata; adanuawo la, ame- gbetowo wonye, wo kata nafo ta kpli, eye woado; ke woadzo nyà- nyanya, eye nukpe alé wo kata";
39;DEU 9:22;A Tabeéra, à Massa, et à Kibroth-Hattaava, vous excitâtes la colère de l’Éternel.;"Eye miedo do- medzoe na Yehowa le Tabera, Masa kple nudzrolawo dife.* 23 Esi Yehowa do mi le Kades-Barnea gblo bena: miyi, ne miaho anyi- gba, si mena mi, ne woanye mia . 17,7; Mo.IV.11,3.94. to la, miesé to de Yehowa, mia)? 1$ 5.7. Mawu, fe nya nu, miedo nu de enu o, eye miese efe gbe o";
40;TIT 1:6;s’il s’y trouve quelque homme irréprochable, mari d’une seule femme, ayant des enfants fidèles, qui ne soient ni accusés de débauche ni rebelles.;Amesi ke nye mo- kaka manonuto, nyonu deka sro, amesi si vi hoseto, siwo nu wo- metso be, wowoa nu vlo aló wo- nu, 4 ilo do de Tito, ?vinye vava 4 ,2. medoa to o la le;
41;EXO 10:22;"Moïse étendit sa main vers le ciel; et il y eut d’épaisses ténèbres dans tout le pays d’Égypte, pendant trois jours.";Tete Mose do efe asi de dzifo, eye viviti tsiditsidia de do de Egipte-nyigba blibo la kata dzi nkeke eto son;
42;PSA 127:2;En vain vous levez-vous matin, vous couchez-vous tard,;"Dzodzroe miefoa fonli, eye mielalana wa kekéke hai bo- bo noa anyi, be miadu miafe hiá- 6010; alea Kee wónaa nu efe ame vevi la le aló mee. 3 Kpo da, nutsuviwo nye do- menyinu tso Yehowa gbo, eye fu- fofo enye fetu";
43;JON 1:8;Alors ils lui dirent: Dis-nous qui nous attire ce malheur. Quelles sont tes affaires, et d’où viens-tu? Quel est ton pays, et de quel peuple es-tu?;Eye wogblo ne bena: Gblo nusi ta dzogbevóe sia dzo de mía dzi do la na mí! Do ka wola nenye, eye afika nétso? Mia de de, eye duko ka me nàtso?;
44;EZK 36:13;Ainsi parle le Seigneur, l’Éternel:;Ale Afeto Yehowa gblo esi: Esi wole gbogblom na mi be, ameládula nenye, eye nàde vi le wo ñuto wo duko nu la, 14 eyata màgadu amelà azo o, eye máàgade vi le wò duko nu azo o, Afeto Yehowa ye gbloe;
45;HOS 12:15;Éphraïm a irrité l’Éternel amèrement:;Ke Efrayim do dziku ne vevie, eyata efe Afeto ahe efe hlódodo ava edzi, eye wóado efe vlodoame tefe ne;
46;PHP 4:10;"J’ai éprouvé une grande joie dans le Seigneur de ce que vous avez pu enfin renouveler l’expression de vos sentiments pour moi; vous y pensiez bien, mais l’occasion vous manquait.";Ke mekpo dzidzo gede le Afeto la me bena, azo la miega- kpo ñusë yeye hesusu nusi nyo nam, nusi nuti miesusu hà, ke beyibi Ia sesē na mi;
47;HAG 2:19;Y avait-il encore de la semence dans les greniers?;De nukuwo tsi ava mea, eye de wein- ka kple gboti, yevubodati kple amiti wogbe tsetsea? Made yayra afe tso nkeke ma dzi;
48;ISA 43:6;Je dirai au septentrion: Donne!;Magblo na anyiehe be: Tsoe ve! eye na dziehe be: Megasika ame di o! Kplo vinye- ñutsuwo tso didife ve kple vinye- nyonuwo tso anyigba fe mloenu, 7 amesiwo kata nu woyo nye inko do, amesiwo mewo hena nye bu- bu, memé wo, eye mewo wo;
49;ISA 23:11;"L’Éternel a étendu sa main sur la mer;";"Edo efe alo de atsiafu nu, ewuwu fia- dufewo, Yehowa de se de Kanaan nu, ne woatsró efe mo seséwo, 12 eye wogblo bena: Mágatso aseye o, wò JZidon-detugbi, si wogblé; tso, nayi Kititowo gbo, màkpo gbodzoe le gama ha o";
50;NUM 26:47;Ce sont là les familles des fils d’Aser, d’après leur dénombrement: cinquante-trois mille quatre cents.;Amesiwo wotia hlé le Aser viwo fe fome la me la, le ame akpe blaató vo eto alafa ene;
51;ISA 44:5;"Celui-ci dira: Je suis à l’Éternel;";Amesi agblo be, Yehowa to ye nye, ame keme atso Yakob fe nko na edokui, eye ame bubu anlo Yehowa de efe asi nu, eye woafo Israel nko do na edokui. Trüsubosubo fe bometsinuwo;
52;EST 5:5;Et le roi dit: Allez tout de suite chercher Haman, comme le désire Esther. Le roi se rendit avec Haman au festin qu’avait préparé Esther.;Tete fia la gblo be: Midayo Haman ve kaba, be míawo Ester fe nya la dzi! Eye fia la kple Haman wova kpló, si Ester do la ñu;
53;REV 2:24;"A vous, à tous les autres de Thyatire, qui ne reçoivent pas cette doctrine, et qui n’ont pas connu les profondeurs de Satan, comme ils les appellent, je vous dis: Je ne mets pas sur vous d’autre fardeau;\wj*";"Ke mele gbogblom na mi ame ma- mletowo le Tiatira, àmesiwo kata melé nufiafia sia me de asi o, ame- siwo menya Satana fe globofewo (abe alesi woyone ene) o Ia: Nye- mele agba bubua deke da ge de mia dzi o; 25 negbe nusi le mia si la, milé eme de asi sesie, va- sede esime mava";
54;1JN 1:7;Mais si nous marchons dans la lumière, comme il est lui-même dans la lumière, nous sommes mutuellement en communion, et le sang de Jésus son Fils nous purifie de tout péché.;ke ne míele kekeli me zom, abe alesi eya nuto le kekeli me ene la, ekema míedo fome kple mía noewo, teye Via Yesu Kristo fe wu la Koa nuyb kata da le mía nuti;
55;PSA 51:13;Ne me rejette pas loin de ta face,;Megatsom fu ° Mem. 36, 28. gbe le ñkuwo me o, eye megaho wò gbogbo kokoe la le asinye o!;
56;DEU 25:7;Si cet homme ne veut pas prendre sa belle-sœur, elle montera à la porte vers les anciens, et dira: Mon beau-frère refuse de relever en Israël le nom de son frère, il ne veut pas m’épouser par droit de beau-frère.;"Ke ne medze nutsu la nu be, wóade novia sró o la, ekema nyonu la nayi ame tsitsiwo gbọ le wonu agblo bena: Srónye novi gbe be, yemalé ye novi fe niko de te le Israel o; egbe be, yemadem o";
57;GEN 18:17;Alors l’Éternel dit: Cacherai-je à Abraham ce que je vais faire?…;Eye Yehowa gblo bena: De mala nusi wo ge mala la de Abrabam, 18 esi wónye Abraham ava nye duko gà sénua de, eye woayra anyigba dzi dukowo kata le eme laa? 19 Elabena metiae, bena dwòade se na emegbeviwo kple efe me kata bena, woalé nku de Yehowa fe mo nuti, eye woawo nu dzodzoe kple nu nyui, bena ne nusi nugbe Yehowa do la, nava me na Abraham;
58;MAT 4:2;Après avoir jeûné quarante jours et quarante nuits, il eut faim.;Eye esi wotsi nu do nkeke blane kple za ha blane > ,28. megbe la, do va wui;
59;EPH 5:25;Maris, aimez vos femmes, comme Christ a aimé l’Église, et s’est livré lui-même pour elle,;Mi nutsuwo la, miló mia nu- towo mia srówo, abe alesi Kristo ha lő hame Ia, eye wótso ye nuto dokui hena de eta la ene;
60;PSA 24:6;Voilà le partage de la génération qui l’invoque,;Esia nye amesiwo biaa eta sena la fe fome, amesiwo dia wà, Yakob fe Mawu la, fe niku me. Sela;
61;PSA 101:8;Chaque matin j’anéantirai tous les méchants du pays,;Magblé anyigba dzi ame vodiwo katà ndi sia ndi, ne matsro nu vódiwolawo kata da le Yehowa fe du la me.* Gbedododa le fukpekpe me kple kukudedé de Zion ta. Dzidulaa de fe adzosbedede. : Hiáto fe gbedododa, ne = nu te enu, eye wótro efe 1102, 2 103, 17 konyifafawo fo de Yehowa nku me;
62;SNG 4:2;Tes dents sont comme un troupeau de brebis tondues,;"Wò aduwo le abe aléha, si woko fu na tetee, eye wodo tso tsilefe la ene; wo kata wonye venowo, eye wo dometoa deke metsi ko o";
63;MAT 8:28;Lorsqu’il fut à l’autre bord, dans le pays des Gadaréniens, deux démoniaques, sortant des sépulcres, vinrent au-devant de lui. Ils étaient si furieux que personne n’osait passer par là.;Eye esi wòva egodo le Ga- daratowo fe anyigba dzi la, ame eve, siwo me gbogbo võwo le, eye aga le mo na wo nuto, ale bena amea deke metea nu toa afimamo o la, do go tso yodowo me va kpee;
64;HAB 2:19;Malheur à celui qui dit au bois: Lève-toi!;Baba na amesi le gbogblom na ati be: Nyo! eye na kpe ma- fonu be: Fo! De woate nu afia nu amea? Kpo da, sika kple klosalo wotso fa de enu, eye gbo- gbo ku deka há mele eme o;
65;LEV 4:13;Si c’est toute l’assemblée d’Israël qui a péché involontairement et sans s’en apercevoir, en faisant contre l’un des commandements de l’Éternel des choses qui ne doivent point se faire et en se rendant ainsi coupable,;Ne Israel-ha blibo la da fu, eye duko la fe nku dzo le Yeho- wa fe seawo dometo deka dzi, eye wowo nusi nu se le na wo;
66;ECC 12:11;Outre que l’Ecclésiaste fut un sage, il a encore enseigné la science au peuple, et il a examiné, sondé, mis en ordre un grand nombre de sentences.;Nunyalawo fe nyawo le abe inu kple gatagba- dze, si wofo de nu ene. Kplola dekae do amewo wofo wo nu fu;
67;JUD 1:9;Or, l’archange Michel, lorsqu’il contestait avec le diable et lui disputait le corps de Moïse, n’osa pas porter contre lui un jugement injurieux, mais il dit: Que le Seigneur te réprime!;"Ke Mihael, mawudola gà la, esime wóle anuku tsyom hele nu fom kple Abosam le Mose fe kuku nuti la, medo dzi gblo busufobu- bu de enuti o, ke bon egblo be- na: Afeto Ja laka mo na wò! 10 % Ke ame mawo la wogbloa busu- nya de nusiwo womenya o la nuti; ke nusiwo gome wose tso dzo- dzome abe là nyasá manositowo ene la, wogblē wo dokui le nu- siawo me";
68;GAL 3:23;Avant que la foi vînt, nous étions enfermés sous la garde de la loi, en vue de la foi qui devait être révélée.;Ke hafi hose la va la, wodzra mí do de se la te, eye wotu wo de mía nu hena ho- se, 51 wole dede ge de go afia emegbe la.!;
69;2PE 1:17;Car il a reçu de Dieu le Père honneur et gloire, quand la gloire magnifique lui fit entendre une voix qui disait: Celui-ci est mon Fils bien-aimé, en qui j’ai mis toute mon affection.;Elabena eho bubu sidzedze me la dokuidzidudu, eye UU kple ñutikokoe tso Mawu Fofo la le dokuidzidudu me la dzidodo, gbo, esime nenem gbe sia di tso eye le dzidodo me la mawusosro- ñutikokoe ga nyui la me va egbo da;
70;NAM 1:12;Ainsi parle l’Éternel: Quoique intacts et nombreux,;"Ale Yehowa gblo esi: Ne nusé le wo nu, eye woso gbọ Kpai hà la, woasé wo da, eye wo nu ayi; mebobo wo de anyi, ke nyemagabobo wo de anyi azo o";
71;JHN 11:54;"C’est pourquoi Jésus ne se montra plus ouvertement parmi les Juifs; mais il se retira dans la contrée voisine du désert, dans une ville appelée Éphraïm; et là il demeurait avec ses disciples.";Eyanuti Yesu megatsana le Yudatowo dome le gaglügbe o, ke bon edzo le afima yl anyigba, si te de gbedzi nu la dzi, de dua de, si woyona be Efrayim la me, eye eya kple efe nusrólawo tsi afima;
72;2CO 12:12;Les preuves de mon apostolat ont éclaté au milieu de vous par une patience à toute épreuve, par des signes, des prodiges et des miracles.;Ke mewo apostolo fe dzesiwo le mia dome le dzidodo kata me, le dzesiwo kple nukunuwo kple nusédowowowo me;
73;HAB 1:14;Traiterais-tu l’homme comme les poissons de la mer,;"Ewo amegbeto abe fume- a . b Do. 13, 41. . 3, 9. e . f Zef. 3, 3. g Ro.1,17; Gal. h . i . k kp. 17. là ene, abe nutata, siwo nu afe- toa deke mele o la ene";
74;ISA 3:9;L’aspect de leur visage témoigne contre eux,;"Wofe mododo le dase dim le wo nu, eye wode wofe nuybwo fia fa abe Sodom ene, womeglae o; baba na wo, elabena woawo iwo dokui iu wole yb wom do";
75;ZEC 12:3;"En ce jour-là, je ferai de Jérusalem une pierre pesante pour tous les peuples;";"Ge- magi la matso Yerusalem awo kpegbae na dukowo kata; ame- siwo katà be, yewoakoe 1a, woade abi wo dokui nu, eye anyigba dzi dukowo kata afo takpli de enu";
76;1SA 12:23;Loin de moi aussi de pécher contre l’Éternel, de cesser de prier pour vous! Je vous enseignerai le bon et le droit chemin.;Ke nede megbe hà tso nye hà gbonye, be matasi kuku- dede de mia ta, eye magbe mo nyui kple mo dzodzoe fiafia mi ahawo nuvó de Yehowa nu!;
77;OBA 1:21;Des libérateurs monteront sur la montagne de Sion,;Honametowo ava Zion- to la dzi, ne woadroó wonu Esau fe towo, eye fiadufe la anye Ye- howa to;
78;2KI 25:30;Le roi pourvut constamment à son entretien journalier tout le temps de sa vie.;"mat-nyigba dzi. Ale wode aboyo Eye wóho efe gbesiagbe nududu, Yuda tso efe anyigba dzi enye 51. „kp,oz.vupo 81 wOhià gbesiagbe la, tso Babel- Ismael wu fiatefenoln Gedalya. .7-9; fia gbo le efe agbe me nkekewo 227Eye Babel-fia Nebukadne- 25? ?'? kata me";
79;1PE 3:8;Enfin, soyez tous animés des mêmes pensées et des mêmes sentiments, pleins d’amour fraternel, de compassion, d’humilité.;"Mloeba la mi katà misusu nu deka, ame nu nawo nublanui na mi; miló mia noewo abe noviwo ene; miafe dome natro de ame nu; mibobo mia dokui";
80;3JN 1:4;Je n’ai pas de plus grande joie que d’apprendre que mes enfants marchent dans la vérité.;Nyemekpo dzidzo ga wu esia be, mese bena, vinyewo zona le nya- tefe me o;
81;LAM 3:42;Nous avons péché, nous avons été rebelles!;#Mia- wo míedze aglà, eye míesé to, eye wó la métsoe ke o;
82;JAS 1:23;Car, si quelqu’un écoute la parole et ne la met pas en pratique, il est semblable à un homme qui regarde dans un miroir son visage naturel,;Elabena ne amea de nye nyasela, eye menye edziwola o la, eyama di nutsua de, si kpo efe dzodzomemo le ahühóe me;
83;1CH 17:18;Que pourrait te dire encore David sur la gloire accordée à ton serviteur? Tu connais ton serviteur.;Nya ka Dawid agagblo na wo akpe de wo dola fe bubu la nu, elabena enya wo dola;
84;2TI 2:11;"Cette parole est certaine: Si nous sommes morts avec lui, nous vivrons aussi avec lui;";"Nyatefenya wonye: Ne míeku KpaKpW la, miano agbe ha kpa- Ikplii;?";
85;HOS 6:4;Que te ferai-je, Éphraïm?;Efrayim, nuka mawo wo, eye Yuda, nuka mawo wo? Elabena miafe loló le abe ndililikpo kple zümu, si nu yina le hdi ene;
86;EZK 34:30;Et elles sauront que moi, l’Éternel, leur Dieu, je suis avec elles, et qu’elles sont mon peuple, elles, la maison d’Israël, dit le Seigneur, l’Éternel.;Eye woadze sii be, nye Ye- howa, čwofe Maҳu la, meli kpli wo, eye woawo, Israel fe afe la, wo- nye nye duko, Afeto Yehowa ye gbloe!;
87;EXO 24:9;Moïse monta avec Aaron, Nadab et Abihu, et soixante-dix anciens d’Israël.;"Esia megbe Mose kple Aron, Nadab kple Abihu kpakple Israel- me tsitsiawo dome ame blaadre la wolia to la, 10 eye wokpo Israel fe Mawu la; efe afogbo le abe gbloti, alo abe alesi alilime kona kenken ene";
88;JHN 4:40;Aussi, quand les Samaritains vinrent le trouver, ils le prièrent de rester auprès d’eux. Et il resta là deux jours.;Azo esi Samariatowo va egbo la, wo- de kuku ne bena, wóano yewo gbo, eye wóno afima nkeke eve;
89;EZR 8:34;Le tout ayant été vérifié, soit pour le nombre, soit pour le poids, on mit alors par écrit le poids du tout.;Wo- da nuawo kata le wofe hehléme kple kpekpeme nu, eye wonlo kpekpeme blibo la gemagi;
90;JOB 38:4;Où étais-tu quand je fondais la terre?;Afika neno, esime medo anyi- gba gome anyi? Ne nunya le tagbo na wó la, ekema gbloe! 5 Ameka do efe dzidzeme ? Enyae tso! Alo ameka da dzidzeka ne?;
91;EZK 23:36;L’Éternel me dit:;Eye Yehowa gblo nam be- na: Amevi, de nébe, yeadró Wonu Ohola kple Oholiba? Ekema de wofe iunyonuwo fia wo;
92;JDG 6:22;Gédéon, voyant que c’était l’ange de l’Éternel, dit: Malheur à moi, Seigneur Éternel! Car j’ai vu l’ange de l’Éternel face à face.;Esi Gideon kpo bena, Ye- howa fe dolae la, egblo bena: Alele, Afeto Yehowa! Elabena mekpo Yehowa fe dola nku me kple nku me;
93;MRK 8:17;Jésus, l’ayant connu, leur dit: Pourquoi raisonnez-vous sur ce que vous n’avez pas de pains? Êtes-vous encore sans intelligence, et ne comprenez-vous pas?\wj*;Eye esi wódze sii la, egblo na wo bena: Nuka miele di kem be, mietso abolo de asi o mahá? De miedze si nu kpo hade aló se nu gome hà oa, alo miafe dzime de wógasé maha?;
94;1CO 6:4;Quand donc vous avez des différends pour les choses de cette vie, ce sont des gens dont l’Église ne fait aucun cas que vous prenez pour juges!;Azo la ne agbe sia me nyadodróa de le mia si la, mietso amesiwo wodoa vlo le ha me la bon do wo- nudrólawoe!;
95;1TH 2:16;nous empêchant de parler aux païens pour qu’ils soient sauvés, en sorte qu’ils ne cessent de mettre le comble à leurs péchés. Mais la colère a fini par les atteindre.;"esi wohea mo na mí, pena míagagblo nya na trósu- bolawo, bene woaho wo de agbe o, bene woayo wofe nuvàwo tañ- tan dasi la nuti; ke dziku, si ava wo dzi la, yo tantan";
96;2CH 8:14;"Il établit dans leurs fonctions, telles que les avait réglées David, son père, les classes des sacrificateurs selon leur office, les Lévites selon leur charge, consistant à célébrer l’Éternel et à faire jour par jour le service en présence des sacrificateurs, et les portiers distribués à chaque porte d’après leurs classes; car ainsi l’avait ordonné David, homme de Dieu.";Edo nunolawo fe hawo wofe subosubodowo nu, le fofoa Dawid fe dodo la nu kple Lewi- viwo wofe dowo nu, ne woakafu, eye woasubo le nunolawo gbo, le nkeke sia nkeke fe koa nu, kple agbonudzolawo fe hawo de agbo sia agbo nu, elabena alea Mawu fe ame Dawid de se gblo;
97;ISA 2:2;Il arrivera, dans la suite des temps,;/Aya me le nke- ke mloeawo me be, Yehowa fe afe fe to la ako ta agbo towo nu, eye woafo togbewo ta, eye anyi- gba dzi dukowo kata afo zi de enu;
98;GEN 1:19;Ainsi, il y eut un soir, et il y eut un matin: ce fut le quatrième jour.;Ale za do, eye nu ke, eya nye nkeke enelia;
