id;fr;ewe;score;statut
53;Pour eux tu t'es lavée, tu as fardé ton visage, et tu t'es parée d'ornements.;"wo ye musun ekoo wo wo yitso gbawo. """;1.0821;
54;Je ne connaissait pas mon père, et ma mère était morte.;Nyemedze si danye si dzim o, eye mía kple fofonye míenyina o.;1.0991;
55;"Grande est la Diane d'Éphèse ! """;"""Diana, Efesotɔwo ƒe mawu la, lolo loo!""";1.0808;
56;"Mea culpa Paraphrasant "" le mot du président """;Nyambo dzine tag 'president';1.0617;
57;"Il y aura abondance de grain sur la terre; sur le sommet des montagnes, ce sera la profusion.";"""Bli ado kpekpekpe le anyigba dzi kple towo tame.""";1.0778;
58;"disent: ""Est-ce que nous n'avons pas mis la main sur vous pour vous soustraire aux croyants?""";"Egblɔ na Yudatɔ tsitretsiɖeŋulawo bena: ""Nukaŋuti míexɔm se o mahã?";1.0604;
59;"Il déclarait: "" Ce que j'ai trouvé, des milliers de personnes le trouvent encore chaque année.";"Egblɔ be: ""Nusi ŋu meke ɖo la, ame akpe geɖewo gakpɔtɔ le kekem ɖe eŋu ƒe sia ƒe.";1.1448;
60;Pierre a juré qu'il n'abandonnerait jamais son Maître, mais il s'est sauvé quand sa vie fut en danger...!;Petro ƒu asi akɔ be yemagblẽ yeƒe Aƒetɔ la ɖi gbeɖe o, gake le zã ma ke me la, Petro gbe nu le Yesu gbɔ! - Mat.;1.0620;
61;Je sais bien qu'il saura vraiment parler.;Menya be ate ŋu aƒo nu nyuie.;1.0621;
62;Je suis d'accord avec sACLe: trop cher.;Evangeline: Oh x asi akpa, mee kuku e dzi nam;1.0736;
63;A l'aller, tout le monde était resté silencieux.;Esi wonɔ azɔlia dzi la, amesiame zi ɖoɖoe.;1.0968;
64;Il est quand même conseillé de l'enlever rapidement.;Akpɔ egbɔ be woɖee ɖa kaba.;1.0616;
65;Qu'est ce qu'en disent les actuels et futurs retraités ?;Nya kae agbalẽnyala siwo li egbea kple esiwo nɔ anyi le blema gblɔ?;1.0888;
66;c) Libérant le Christ de l'emprisonnement de l'âme;à propos de Mawuli Kodzo Afiademanyo;1.0608;
67;"On n'y entendra plus de pleurs ni de cris....""";"Womagase avifafa alo konyifafa le eme azɔ o.""";1.0952;
68;Il nous donne aussi une nourriture délicieuse et de l'eau pure.;Ena nuɖuɖu viviwo kple tsi nyuiwo hã mí.;1.0731;
69;Pourquoi est-ce qu'ils ne me croient pas ?;Nu Ka Tae Dzinyelawo Mekana Ðe Dzinye o?;1.0658;
70;"Je ne suis plus digne d'être appelé ton fils .""";eye nyemegadze be manye viwò o.';1.1022;
71;Jésus nous appelle à faire de même.;Yesu gblɔ be míawo hã míawɔ nenema ke.;1.0931;
72;La mobilisation des secours pendant l'inondation;Ðasefo Siwo Le Ghana Tso Kpla Na Kpekpeɖeŋu Esi Tsi Ðɔ Ðe Amewo;1.0709;
73;Ne vous sentez pas incapables d'intervenir dans les décisions économiques, politiques.;Àte ŋu akpɔ wo adze sii le ale si womekpɔa gome le dunyahehe kple hadomenyaʋiʋliwo me o la me.;1.0636;
74;"""Avec la saturation observée en Chine, tout le monde se tourne vers l'Inde, où Apple doit rattraper son retard.";Le xexea blibo fe akpa desiade, amesiame dzia kokoko be yewoa yi India na gbogbome gbenono sosro.;1.0622;
75;Aujourd'hui, trouver du boulot, c'est pas facile.;Dɔkpɔkpɔ mele bɔbɔe le ŋkeke siawo me o.;1.0630;
76;Il peut s'agir de la somme versée pour la libération d'un prisonnier de guerre.;Woate ŋu atsɔe asɔ kple fe si woxe be woaɖe asi le amesi wolé le aʋawɔwɔ me ŋu.;1.1207;
77;Nous le voyons déjà et nous l'avons vu.;Míele wo dometɔ ɖeka kpɔm eye míele eme tom xoxo.;1.0984;
78;L'espoir ne disparaîtra jamais.;Eye wò mɔkpɔkpɔ nu mayi o.;1.0909;
79;Peninna avait des enfants, mais Anne n'avait pas d'enfants.;Penina dzi vi, ke Hana ya medzi vi aɖeke o.;1.0688;
80;Ces mots-là sont importants.;Nya siawo le vevie ale gbegbe.;1.0712;
81;Qu'est-ce qui est plus sucré que le sucre ?;"""Nu kae vivina wu anyitsi,";1.0682;
82;financier de l'Europe, la Ninive et la ne pas être compétitif aujourd'hui, mais la ville;EU Ekpo, NO Egbe, BE Akpan;1.0712;
83;On doit aussi réduire la quantité d'éléments et de scripts totaux dans chaque page.;Woɖe titinanuŋɔŋlɔ siwo le axa ɖe sia ɖe ƒe domedome hã ƒe agbɔsɔsɔme dzi kpɔtɔ.;1.0772;
84;Mon frère aîné, Ilias, l'a bombardé de questions sur la Bible.;Etrɔ yi Karítsa, eye fonye Ilias bia nya geɖee tso Biblia ŋu.;1.0670;
85;Mais c'est votre choix et non le mien.;Wòe atso nya me, menye nyee o.;1.0624;
86;Jason n'avait pas réellement envie de devenir roi.;Saul mesusui be yedze be yeanye fia o.;1.0772;
87;"Je lui ai demandé: ""Tu es la fille de qui ?""";Emegbe mebiae bena: Ameka vi nènyea?;1.0606;
88;La loi de ta bouche m'est plus précieuse que des milliers de pièces d'or et d'argent.;Wonyo nam wu sika kple klosalo akpeakpewo.;1.0738;
89;45 en sorte que vous soyez ainsi les fils de votre Père qui est dans les Cieux, lui qui fait lever son soleil sur les mauvais et sur les bons, et qui fait tomber la pluie sur les justes et les injustes.;Alesi vifofo dzi be ya kpo ye vi le tefe nyuiade kple dzidzo-me. nenemake, Mawu dzi be le mia dome amesiame akpo dzogbe nyui eye ano tefe nyuiade.;1.0674;
90;"Les parents recevront des bons leur permettant de "" choisir "" l'école de leurs enfants.";"Dzilawo kpÉ"" mÉ"" atia hehe si Æ'omevi wodi be wo viwo naxÉ"" la faa.";1.0601;
91;Barthélémy et moi, nous étions si proches.;Tsi metoa mía kple Charalambos dome o;1.0686;
92;Qu'est-ce qui leur fait si peur ?;Nu kae do ŋɔdzi na wo nenema?;1.0687;
93;Dimanche soir lors d'une cérémonie de recueillement à El Paso.;memleƒagbe si va yi le Adeétikopeé.;1.0651;
94;L'enfant a un handicap ou une affection;Via ate ŋu azu nuwɔametɔ alo eƒe susu mawɔ dɔ nyuie o;1.0772;
95;"Qu'est-ce qui pousse une personne à se faire opérer là où sont offerts ce que certains appellent ""les meilleurs"" soins?";Mɔ kawo nue woate ŋu ate sɔhɛwo kpɔ alo aƒo nya ɖe wo nu le be woakpɔ gome le nusi ame aɖewo bu be wonye 'nu nyuitɔwo kekeake' me?;1.0616;
96;Nous vous attendons en toute quiétude.;Míedi be míalala wò kple dzolélé:;1.0949;
97;Parce qu'elle est source de vie.;Elabena eya mee agbe tsona.;1.0652;
98;Nous sommes tous les deux adultes.;Fifia mía kple evea siaa míezu ame tsitsiwo.;1.0928;
99;Où va l'argent de la planche à billets ?;Yume ga tsudzuku dokoka he;1.0763;
100;Merci pour l'eau de pluie;Tsidzadza Èdaa Akpe Ðe Eta?;1.0683;
